sample	amp_chr_1p_NOTCH2	amp_chr_1q_CKS1B	amp_chr_2p	amp_chr_2q	amp_chr_3p	amp_chr_3q	amp_chr_4p	amp_chr_4q	amp_chr_5p	amp_chr_5q	amp_chr_6p	amp_chr_6q	amp_chr_7p	amp_chr_7q	amp_chr_8p	amp_chr_8q_MYC	amp_chr_8q_MYC_enhancer	amp_chr_9p	amp_chr_9q	amp_chr_10p	amp_chr_10q	amp_chr_11p	amp_chr_11q_CCND1	amp_chr_12p	amp_chr_12q	amp_chr_13q	amp_chr_14q	amp_chr_15q	amp_chr_16p	amp_chr_16q	amp_chr_17p	amp_chr_17q	amp_chr_18p	amp_chr_18q	amp_chr_19p	amp_chr_19q	amp_chr_20p	amp_chr_20q	amp_chr_21q	amp_chr_22q	del_chr_1p_CDKN2C	del_chr_1p_EVI5	del_chr_1p_TENT5C	del_chr_1q	del_chr_2p	del_chr_2q	del_chr_3p	del_chr_3q	del_chr_4p	del_chr_4q	del_chr_5p	del_chr_5q	del_chr_6p	del_chr_6q	del_chr_7p	del_chr_7q	del_chr_8p	del_chr_8q	del_chr_9p	del_chr_9q	del_chr_10p	del_chr_10q_NFKB2	del_chr_11p	del_chr_11q_BIRC2	del_chr_12p	del_chr_12q	del_chr_13q_RB1	del_chr_14q_MAX	del_chr_14q_TRAF3	del_chr_15q	del_chr_16p	del_chr_16q_CYLD	del_chr_17p_TP53	del_chr_17q	del_chr_18p	del_chr_18q	del_chr_19p	del_chr_19q	del_chr_20p	del_chr_20q	del_chr_21q	del_chr_22q
MMRF_1565_1_BM_CD138pos_pair	0.006	0.012	0	0	0	0	0	0	0	0	0.006	0.006	0	0	0.004	1	1	0.863	0.856	0	0	0	1	0.011	0.011	0.016	0	0	0.006	0.016	0	0	0	0	0	0	0.004	0.004	0	0	0	0	0	0	0.002	0.004	0.026	0.026	0.008	0.008	0.01	0.009	0	0	0.033	0.033	0	0	0	0	0.004	0	0.042	0	0	0	0	0	0	0.031	0	0	0.018	0.061	0.007	0.007	0.045	0.042	0	0	0.008	0.001
MMRF_1568_1_BM_CD138pos_pair	0	0	0.021	0.018	0	0	0.023	0.019	0.018	0.006	0.155	0	0	0	0.037	0.028	0.028	0	0.857	0.004	0.013	0	0.869	0.045	0.063	0	0	0	0	0	0	0	0.009	0.009	0	0	0.049	0.033	0.009	0.051	0.004	0.004	0.004	0	0	0	0.479	0.011	0	0	0	0	0	0.229	0.01	0.145	0	0	0.035	0	0	0	0.015	0	0	0	0.939	0.877	0.877	0.022	0.023	0.212	0.024	0.061	0	0	0.078	0.063	0	0	0	0
MMRF_1570_1_BM_CD138pos_pair	0.005	0.018	0.005	0	0	0	1	1	0	0	0.016	0.016	0	0	0.012	0.007	0.007	1	1	0	0	0	0.982	0.037	0.037	0.024	0.014	0	0.026	0.038	0	0	0	0	1	1	0.032	0.03	0	0.022	0	0	0	0	0	0	0.009	0.035	0	0	0.008	0.008	0	0	0.026	0.026	0	0	0	0	0.03	0.035	0.034	0	0	0	0	0	0	0.013	0	0	0.011	0.051	0.003	0.003	0	0	0	0	0.017	0
MMRF_1572_1_BM_CD138pos_pair	0	0	0.008	0.008	0.177	0.177	0	0.014	0.167	0.167	0.034	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0.021	0	0.036	0	0.956	0.956	0.075	0	0	0	0	0.017	0	0	0	0	0	0.035	0.03	1	0.998	0.015	0.102	0.004	0	0.063	0.053	0.516	0.631	0.951	0.859	0.859	0.033	0.086	0.076	0.077	0.087	1	1	0.101	0.086	0	0	0.991	0
MMRF_1573_1_BM_CD138pos_pair	0	0	0	0	1	1	0	0	1	1	1	1	1	0.927	0.036	0.022	0.022	1	1	0	0	0	0	0.021	0.021	0.04	0.053	1	0.016	0.016	0	0	1	1	1	1	0.02	0.02	1	0.026	0.008	1	0.024	0.017	0.016	0.019	0	0	0.032	0.034	0	0	0	0	0	0	0	0	0	0	0.007	0.021	0.024	0.038	0	0	0	0	0	0	0	0	0.056	0.072	0	0	0	0	0	0	0	0
MMRF_1574_1_BM_CD138pos_pair	0	0	0	0	0.932	0.862	0	0	0.953	0.953	0.043	0.043	0.835	0.839	0.005	0.005	0.005	1	1	0	0	0.657	0.773	0.02	0.02	0.041	0.038	0.853	0.014	0.014	0	0	0	0	0.784	0.813	0.225	0.225	0.919	0	0	0	0	0	0.019	0.02	0	0	0.032	0.03	0	0	0	0	0	0	0	0	0	0	0.02	0.019	0	0	0	0	0	0	0	0	0	0	0.097	0.131	0.028	0.028	0	0	0	0	0	0.003
MMRF_1576_1_BM_CD138pos_pair	0	0	0.982	0.982	0.899	0.674	0	0	0.94	0.969	0.003	0.03	0.812	0.81	0	1	1	0.81	0.773	0	0	0.751	0.738	0.037	0.037	0	0.017	1	0	0	0	0.404	0	0	0.716	0.711	0.033	0	0.929	0.051	0.006	0.966	0.975	0.008	0	0	0	0	0.039	0.021	0	0	0	0	0	0	0.994	0	0	0	0.026	0.01	0	0	0	0	0.945	0	0	0	0.022	1	0.147	0	0.032	0.032	0	0	0	0.005	0	0
MMRF_1577_1_BM_CD138pos_pair	0	0	0	0	1	1	0	0	1	1	0.004	0.004	1	1	0	0.005	0.005	0.992	0.992	0	0	0.979	0.989	0.017	0.017	0.06	0.022	0	0.017	0.017	1	0.98	0	0	0.962	0.975	0	0	1	0	0.001	0.001	0.001	0.01	0.024	0.024	0	0	0.031	0.031	0	0	0	0	0	0	0.008	0.005	0	0	0.024	0.015	0	0	0	0	0	0	0	0.105	0	0	0	0	0.03	0.03	0	0	0.001	0.001	0	0.025
MMRF_1579_1_BM_CD138pos_pair	0.013	1	0.011	0	0.214	0.106	0	0	0.003	0.018	0.218	0.237	0	0	0	0.134	0.134	1	1	0	0	0.19	0.143	0.039	0.039	0.065	0	0.182	0	0	0	0	0.203	0.199	0.902	0.871	0.033	0.033	0.184	0	0.932	0.781	0	0	0	0.944	0	0	0.653	0.15	0	0	0	0	0.047	0.042	0.116	0	0	0	0.001	0.542	0	0	0	0	0	0.891	0.808	0	0.009	0.042	0.066	0.042	0	0	0	0	0	0	0	0.168
MMRF_1580_1_BM_CD138pos_pair	0.003	0.003	0.007	0	0	0	0	0	0	0	0.007	0.007	0	0	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0.033	0	0.02	0.021	0	0	0.056	0.016	0.005	0.005	0	0	0	0	0	0.001	0	0.005	0.016	0.019	0.007	0.012	0.011	0.012	0	0	0.027	0.109	0.003	0.933	0.005	0.005	0	0	0.024	0.02	0.001	0.001	0.012	0	0	0.004	0	0.936	0	0	0.01	0.01	0	0	0	0	0.019	0.383
