sample	amp_chr_1p_NOTCH2	amp_chr_1q_CKS1B	amp_chr_2p	amp_chr_2q	amp_chr_3p	amp_chr_3q	amp_chr_4p	amp_chr_4q	amp_chr_5p	amp_chr_5q	amp_chr_6p	amp_chr_6q	amp_chr_7p	amp_chr_7q	amp_chr_8p	amp_chr_8q_MYC	amp_chr_8q_MYC_enhancer	amp_chr_9p	amp_chr_9q	amp_chr_10p	amp_chr_10q	amp_chr_11p	amp_chr_11q_CCND1	amp_chr_12p	amp_chr_12q	amp_chr_13q	amp_chr_14q	amp_chr_15q	amp_chr_16p	amp_chr_16q	amp_chr_17p	amp_chr_17q	amp_chr_18p	amp_chr_18q	amp_chr_19p	amp_chr_19q	amp_chr_20p	amp_chr_20q	amp_chr_21q	amp_chr_22q	del_chr_1p_CDKN2C	del_chr_1p_EVI5	del_chr_1p_TENT5C	del_chr_1q	del_chr_2p	del_chr_2q	del_chr_3p	del_chr_3q	del_chr_4p	del_chr_4q	del_chr_5p	del_chr_5q	del_chr_6p	del_chr_6q	del_chr_7p	del_chr_7q	del_chr_8p	del_chr_8q	del_chr_9p	del_chr_9q	del_chr_10p	del_chr_10q_NFKB2	del_chr_11p	del_chr_11q_BIRC2	del_chr_12p	del_chr_12q	del_chr_13q_RB1	del_chr_14q_MAX	del_chr_14q_TRAF3	del_chr_15q	del_chr_16p	del_chr_16q_CYLD	del_chr_17p_TP53	del_chr_17q	del_chr_18p	del_chr_18q	del_chr_19p	del_chr_19q	del_chr_20p	del_chr_20q	del_chr_21q	del_chr_22q
MMRF_1016_1_BM_CD138pos_pair	0	0.532	0.003	0	1	1	0.002	0.002	1	1	1	0.896	0.009	0.023	0.018	0.015	0.015	0.523	0.942	0	0	0	0	0.036	0.036	0	0.043	1	0.015	0.015	0.798	0.612	0.001	0	0.993	0.993	0.071	0	0.003	0.006	0.525	0.77	0.11	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.009	0.041	0	0	0	0.298	0	0	0	0	0	0	0	0	0.004	0	0	0	0.04	0	0
MMRF_1021_1_BM_CD138pos_pair	0	0.78	0.007	0.006	0.002	0.005	0.007	0	0.014	0.014	0.1	0.1	0	0	0	0.017	0.017	0.025	0	0.002	0.002	0.562	0	0.022	0.022	0	0	0	0	0	0	0	0.009	0.009	0.745	0.812	0.021	0.021	0	0	0	0.484	0.484	0	0	0	0	0	0	0.524	0	0	0	0	0.02	0.009	0.056	0	0	0.049	0	0	0	0.006	0	0	0.891	0.482	0.482	0.03	0.03	0.033	0.024	0.069	0	0	0	0	0	0	0.006	0.007
MMRF_1029_1_BM_CD138pos_pair	0	0	0	0	0.795	0.748	0	0	0	0	0.364	0.364	0	0	0.023	0.006	0.006	0	0.575	0	0	0.886	0.82	0.025	0.025	0	0	0	0	0	0	0	0.325	0.325	1	1	0.006	0.006	0.297	0.01	0.01	0.01	0.01	0.022	0.013	0.014	0	0	0.009	0.012	0.015	0.013	0	0	0.07	0.071	0	0	0.306	0	0.015	0	0	0	0	0	0.81	0	0.929	0.035	0.008	0.966	0.086	0.099	0	0	0	0	0	0	0	0
MMRF_1030_1_BM_CD138pos_pair	0	0.001	0	0	0	0	0.013	0.013	1	1	0.013	0.015	0	0	0.018	0.005	0.005	1	1	0.003	0.003	1	1	0.011	0.011	0.038	0.012	1	0.079	0	0	0	0.008	0.008	1	1	0.005	0	1	0	0.024	0.577	0.577	0.397	0.004	0.001	0.031	0.031	0	0	0	0	0	0	0.061	0.07	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0.576	0.095	0.087	0	0	0	0	0	0.022	0	0.011
MMRF_1031_1_BM_CD138pos_pair	0	1	0.018	0.005	0.996	0.981	0	0.838	0.977	0.971	0.982	0.105	0.986	0.976	0	0.093	0.093	1	1	0	0	1	0.993	0.977	0.009	0	0	1	0.024	0.014	0.02	0.01	0.991	0.991	1	1	0	0	0	0	0.025	0.025	0.025	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0.696	0	0	0	0.02	0.006	0	0	0	0	0.957	0.007	0.007	0	0	0	0	0	0	0	0	0	0.002	0.002	0.026	0.994
MMRF_1032_1_BM_CD138pos_pair	0	0.012	0	0	0	0	0.923	0.924	0.989	0.977	0	0	0	0	0	0.01	0.01	0.97	0.998	0	0	0.007	0.999	0	0	0	0	0.855	0	0.018	0.014	0.013	0	0	1	1	0.01	0	0	0.015	0	0.018	0.018	0	0.045	0.016	0.008	0.018	0	0	0	0	0.015	1	0.002	0.038	0.521	0.002	0	0	0.036	0	0	0	0.998	0.618	0.007	0	0	0	0.028	0	0	0	0.001	0.001	0	0	0	0.012	0.007	0
MMRF_1033_1_BM_CD138pos_pair	0.012	0.012	0	0	0	0.004	0.002	0.002	1	1	0.018	0.009	0	0	0.002	0.001	1	1	1	0.006	0	1	1	0.016	0.002	0	0.004	0.934	0	0	0	0	0	0	1	1	0.022	0	1	0	0	0	0	0	0.002	0.021	0.006	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0.015	0.015	0.005	0.002	0	0	0	0	0	0.009	0	0.022
MMRF_1037_1_BM_CD138pos_pair	0	0	0.96	0.944	0.748	0.734	0.022	0.631	0.971	0.967	0	0	0.023	0.017	0	0	0	0.974	1	0.003	0	1	1	0	0	0.026	0	1	0.022	0	0.018	0	0.002	0.002	1	1	0.039	0.039	0.069	0.001	0.012	0.012	0.012	0.009	0	0	0	0	0	0	0	0	0.016	0.016	0	0	0.003	0.003	0	0	0	0.006	0	0	0.017	0.018	0	0.007	0.007	0	0	0	0	0.007	0	0	0	0	0	0	0	0
MMRF_1038_1_BM_CD138pos_pair	0.004	0	0	0	1	1	0.004	0	1	1	0	0	0	0	0.016	0	0.48	1	1	0	0.012	0.016	0.023	0	0	0	0	1	0.014	0.05	0.006	0	0.022	0.022	1	1	0.01	0	0	0	0	0	0.909	0.017	0.004	0.006	0	0	0	0.007	0	0	0.012	0.016	0.011	0.018	0	0.002	0	0	0.022	0	0	0	0.022	0.02	0.011	0.001	0.008	0	0	0	0	0.016	0	0	0	0	0	0.011	0.004	0.022
MMRF_1045_1_BM_CD138pos_pair	0.016	0.995	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.972	0	0	0	0.014	0	0.045	0.06	0.021	0	0	0	0.017	0.017	0.011	0	0	0.055	0	0	0	0	0.03	0.03	0	0	0	0	0.034	0.037	0.014	0.014	0.071	0.045	0.02	0.051	0.035	0.035	0.012	0	0	0	0.008	0.008	0	0	0	0.037	0	0	0	0.008	0.035	0.035	0	0	0	1	0.03	0
MMRF_1048_1_BM_CD138pos_pair	0	0	0.013	0.007	0	0	0	0.027	0.012	0.012	0.02	0	0	0	0.028	0	0	0	0	0.012	0.006	0.009	0.002	0	0	0	0.037	0	0	0	0	0	0.011	0.011	0.76	0	0.013	0.013	0.002	0.005	0.001	0.413	0.373	0.019	0	0	0.006	0.003	0.024	0	0	0	0	0.971	0.013	0.028	0	0	0.049	0.049	0	0	0	0.29	0.968	0.175	0.943	0	0	0.019	0.019	0.02	0.062	0.072	0	0	0	0.075	0	0	0	0
MMRF_1049_1_BM_CD138pos_pair	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0.016	1	1	0	0	1	1	0	0	0	0	1	0.01	0	0.05	0.025	0	0	1	1	0	0.022	1	0.032	0.002	0.002	0.002	0	0	0	0	0	0.012	0.024	0	0	0	0	0	0	0.021	0.011	0	0	0.007	0.002	0	0	0.018	0.01	0.016	0.003	0.003	0	0	0	0	0	0.018	0.018	0	0	0.004	0	0	0
MMRF_1054_1_BM_CD138pos_pair	0.052	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0.002	0	0	0	0	0	0	0.007	0.007	0	0	0.004	0.004	0	0	0.01	0.009	0.003	0.003	0	0	0	0	0	0	0.011	0.006	0.009	0.009	0.007	0.011	0.006	0.007	0.005	0.005	0.004	0.008	0.005	0.005	0.003	0.003	0	0.001	0.008	0.002	0.003	0.003	0	0	0	0	0.002	0	0	0	0.006	0.006	0	0	0	0	0.008	0.011
MMRF_1055_1_BM_CD138pos_pair	0	0.974	0	0	1	1	0	0.006	1	1	0.044	0.044	0	0	0.022	0.009	0.011	0.975	0.954	0.006	0	0.99	0.834	0	0.034	0.075	0.071	1	0	0.048	0	0	0	1	1	0.978	0.02	0	0	0	0	0	0.866	0	0.003	0	0	0	0.005	0	0	0	0	0	0.063	0.072	0	0	0	0	0	0.006	0	0	1	0	0	0	0	0	0.005	0	0.078	0.113	1	0	0	0	0	0.013	0.011	0.029
MMRF_1061_1_BM_CD138pos_pair	0.009	0.01	0.017	0.003	0.001	0.001	0.003	0.004	0	0	0.426	0.004	0.003	0.003	0.004	0.001	0.001	0.007	0	0	0.005	0.007	1	0.004	0.004	0.002	0.025	0.032	0	0	0.002	0.046	0	0	0.018	0	0.009	0.009	0.002	0.032	0	0	0.989	0.063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.001	0.002	0	0.004	0	0	0.002	0	0	0	0	0.004	0.005	0	0.001	0.001	0	0.002	0	0	0	0
MMRF_1068_1_BM_CD138pos_pair	0.303	0.345	0.114	0.118	0.695	0.856	0.015	0.024	0.885	0.885	0.168	0.168	1	1	0	0.897	0.002	0.996	1	0	0	0.971	1	0	0	0	0	0.928	0	0.009	0.288	0.352	0.091	0.089	0.719	0.698	0.18	0.184	0.035	0	0.012	0.012	0.214	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296	0.085	0	0	0.177	0	0	0	0.181	0.175	0	0	0	0	0.107	0	0	0	0	0	0	0	0	0	0	0.018
MMRF_1073_1_BM_CD138pos_pair	0.01	0.01	1	1	1	1	1	1	1	1	1	1	1	1	1	0.003	0.003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.009	0.001	0.001	0	0	0.002	0	0	0.014	0.014	0	0	0	0	0	0
MMRF_1077_1_BM_CD138pos_pair	0	0.024	0.013	0.008	1	1	0.008	0.014	1	1	0	0	1	0.935	0	0	0	0.977	0.962	0.007	0.41	1	1	0	0.015	0	0.01	0.875	0.012	0	0	0	0.023	0.019	1	0.887	0.007	0	0.015	0.009	0.041	0.318	0.716	0.988	0	0	0	0	0	0	0	0	0.032	0.307	0	0	0.873	0.844	0	0	0	0.481	0	0	0.989	0	0.376	0	0	0	0	0.026	0.536	0.001	0	0	0	0	0	0.048	0	0
MMRF_1078_1_BM_CD138pos_pair	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.002	0.002	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.902	0.014	0.014	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	1	0.002	0.002	0	0	0.382	0.026	0	0	0	0	0	0	0	0	0
MMRF_1079_1_BM_CD138pos_pair	0.001	1	0.02	0.02	0.527	0.527	0.018	0.018	0.861	0.868	1	0	1	1	0.032	0.028	0.028	1	1	0.006	0.006	1	1	0.028	0	0	0	1	0	0	0.002	0.002	1	1	1	1	0.002	0.002	0.958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565	0	0	0	0	0	0	0	0	0	0	0	0	0.799	0.419	0.02	0	0.01	1	0.001	0	0	0	0	0	0	0	0	0.01
MMRF_1082_1_BM_CD138pos_pair	0	0.999	0.006	0.003	0	0.965	0	0	0	0.004	0	0.011	0	0	0	0.018	0.018	0	0	0	0	0	1	0.005	0.012	0	0	0.047	0.005	0	0.014	0.042	0.027	0	0.054	0	0.025	0.025	0	0.053	0.964	0.988	0.988	0	0	0	0.003	0	0.002	0.012	0.037	0	0.008	0	0.002	0.016	0.019	0.029	0.006	0.006	0.014	0.003	0.003	0	0	0	0.019	0.001	0.001	0	0	0	0	0	0	0.028	0	0.962	0	0	0.009	0
MMRF_1086_1_BM_CD138pos_pair	0.002	0	1	1	1	1	1	1	1	1	0	0	0.741	1	0	0	0	1	1	0	0.245	1	1	0	0	0	0	1	0.004	0	0	0.009	0	0	1	1	0.004	0.004	1	0.045	0	0	0	0.015	0	0	0	0	0	0	0	0	0.023	0.021	0	0	0.054	0.021	0	0	0.005	0	0	0	0.02	0.02	1	0.011	0.011	0	0	1	0.928	0	0.006	0.022	0	0	0	0	0	0
MMRF_1089_1_BM_CD138pos_pair	0	1	1	0.039	1	1	0	0	1	1	0	0.021	0.995	0.994	0	1	1	0.983	0.892	0	0	1	1	0	0.026	0.079	0.077	1	1	0.007	0	0	0	0	1	1	0.899	0.899	1	0	0	0	0	0	0	0	0	0	0.103	0.036	0	0	0.024	0	0	0	1	0	0	0	0.045	0.032	0	0	0.935	0	0	0	0	0	0	0	0.19	0.203	0.05	0.05	0	0	0	0	0	0.033
MMRF_1090_1_BM_CD138pos_pair	0.023	0.023	0	0	0	0	0	0	1	1	1	0.772	1	1	0.003	0.022	0.022	0.969	0.96	0	0.004	0	0	0.007	0.01	0	0.007	0	0	0	0	0	0	0	0.935	0.935	0	0.162	0	0	0	0	0	0.006	0.014	0.023	0.016	0.016	0.038	0.03	0	0	0	0	0	0	0	0	0	0	0.002	0	0.023	0.004	0	0	0.06	0	0	0.038	0.01	0.016	0.033	0.052	0.095	0.095	0	0	0.176	0	0.012	0.026
MMRF_1092_1_BM_CD138pos_pair	0	0.006	0.008	0.01	1	1	0	0.013	1	1	0.001	0.012	1	1	0.005	0	0	1	1	0.003	0	1	1	0	0	0.031	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0.008	0	0	0	0.004	0	0	0.001	0.001	0	0	0	0	0.031	0.011	0.025	0.018	0.005	0.005	0	0	0.001	0.03	0.001	0.029
MMRF_1098_1_BM_CD138pos_pair	0.015	0	0	0.004	0	0	0.025	0.004	0.005	0.005	0.009	0.008	0	0	0.027	0.025	0.025	0	0	0.008	0.008	0.002	0.642	0.034	0.031	0	0	0	0	0	0	0	0.001	0.001	0	0	0.037	0.037	0.01	0	0	0	0	0.056	0.002	0	0.001	0.013	0	0	0	0	0	0	0.017	0.01	0	0	0.042	0.042	0	0	0	0.016	0	0	0.952	0.874	0.874	0.021	0.005	0.007	0.019	0.018	0	0	0.031	0.037	0	0	0	0.962
MMRF_1100_1_BM_CD138pos_pair	0	0.012	0	0	0	0	0	0.015	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0.141	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0.002	0	0.008	0.005	0.004	0.003	0.002	0	0	0.005	0.007	0.714	0.006	0.006	0.006	0.006	0	0.018	0.024	0.008	0.008	0.002	0.018	0.018	0.989	0	0	0	0.029	0.015	0.016	0.011	0.013	0.005	0.005	0.005	0.023	0.027	0	0.005
MMRF_1107_1_BM_CD138pos_pair	0	1	0.006	0.006	0.996	0.996	0.003	0.009	0.032	0.032	1	1	0.015	0.015	0	1	1	0.998	0.99	0.002	0	0.011	0.008	0.006	0.007	0	0	0.833	0	0	0	0.002	0.99	0.99	0.993	0.982	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0	0	0	0	0.005	0	0	0	0	0.181	0	0	0	0.002	0.011	0.01	0	0	0	0	0	0.002	0.013	0	0.029
MMRF_1108_1_BM_CD138pos_pair	0	0.014	0	0	0	0	0.007	0.007	0.959	0.959	0.009	0	0	0	0	0.02	0.02	0.885	0.914	0	0	0.796	0.8	0	0.028	0.05	0.014	0.893	0	0.034	0	0	0	0	0.798	0.852	0.004	0	0.959	0	0.818	0	0.841	0.023	0.002	0.005	0.049	0.072	0	0	0	0	0	0.864	0.058	0.06	0.817	0	0	0	0.004	0	0	0	0.978	0	0	0	0	0	0.018	0	0.088	0.112	0.002	0.002	0	0	0	0.034	0	0.021
MMRF_1129_1_BM_CD138pos_pair	0.006	0.674	0	0	0	0	0.002	0.039	0.006	0.01	0	0	0	0	0	0.011	0.011	0.818	0.8	0	0	0	0.004	0.026	0	0	0	0	0	0	0.033	0	0	0	0	0	0	0.024	0	0	0.001	0	0	0	0.005	0.009	0.009	0.008	0	0	0	0	0.221	0.998	0.005	0.005	0.009	0	0	0	0.055	0.047	0.004	0	0	0.007	0.989	0.978	0.978	0.058	0.018	0.192	0.016	0.018	0	0	0.032	0.023	0.013	0	0.01	0.044
MMRF_1148_1_BM_CD138pos_pair	0.038	0.927	0	0	1	0.987	0	0	1	1	0	0	0.954	0.957	0	0.929	0	0.907	0.907	0	0	0	0	0	0.045	0.005	0	0.962	0.022	0.022	0.906	0.897	0.056	1	1	0.906	0.024	0.024	1	0.012	0	0	0	0	0.01	0.009	0	0	0.015	0.015	0	0	0	1	0	0	1	0	0	0	0.012	0	0.06	0.051	0.7	0	0	0.992	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1151_1_BM_CD138pos_pair	0	0.004	0.009	0.011	0.046	0.046	0.003	0.011	1	1	0.012	0	0.005	0.012	0.164	0.153	0.153	1	1	0.014	0.005	1	1	0.013	0.013	0.014	0.011	0.86	0	0.011	0	0	0	0	0.997	1	0	0	0.006	0	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0.014	0.004	0.991	0.99	0	0	0.007	0.007	0	0.002
MMRF_1153_1_BM_CD138pos_pair	0.005	0.885	0	0	0.822	0.946	0	0	0.993	1	1	0.011	0.984	1	0	0	0	0.996	1	0.004	0.007	0.001	0	0.002	0.002	0	0	0.854	0.004	0	0	0.002	0	0	1	0.012	0	0.006	0	0.018	0	0	0	0	0	0.004	0	0	0.008	0.007	0	0	0	0	0	0	0.028	0.028	0	0	0	0.002	0	0	0	0	1	0	0	0	0	0	0.01	0	0.001	0.001	0	0	1	0	0.004	0
MMRF_1157_1_BM_CD138pos_pair	0.006	0.006	0	0	0	0	0	0	0	0.003	0	0	0.001	0	0	0	0	0	0	0	0	0	0.004	0.007	0.001	0	0	0.003	0.029	0.026	0.014	0.027	0	0	0.04	0.027	0.003	0.018	0	0.03	0	0	0	0	0.006	0.007	0.003	0.009	0.001	0.013	0.012	0	0.004	0.008	0	0.003	0.005	0.005	0	0	0.002	0	0.003	0	0	0	0.012	0	0	0	0	0	0	0	0.004	0.01	0	0	0	0	0.009	0
MMRF_1164_1_BM_CD138pos_pair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.01	0.01	0.007	0	0.009	0.01	0	0	0.022	0.007	0	0	0	0	0	0	0	0	0.001	0	0	0.011	0.011	0	0.036	0.037	0.037	0.037	0.04	0.005	0.009	0.004	0.003	0.01	0.01	0	0.001	0.038	0.038	0.016	0.015	0	0	0	0.039	0	0	0.006	0.004	0	0	0.71	0.95	0.944	0.013	0.349	0.002	0	0.002	0	0	0.024	0.024	0	0	0.002	0
MMRF_1167_1_BM_CD138pos_pair	0.005	0.937	1	0	1	1	0	0.587	1	1	1	0.761	1	0.972	0	1	1	1	0.889	0	0	0.951	0.921	0.036	0.036	0	0.115	0.995	0	0	0.029	0.906	0	0	1	1	0.051	1	0	0.109	0	0	0.004	0	0	0.023	0	0	0.021	0	0	0	0	0	0	0	1	0	0	0	0.028	0.038	0	0	0	0	1	0	0	0	0.037	1	0	0	0.034	0.034	0	0	0	0	0.038	0
MMRF_1169_1_BM_CD138pos_pair	0.022	0.005	0.018	0.02	1	1	0	0.011	1	0.265	0.007	0.03	1	1	0	0	0	0	0	0.004	0	0	0	0	0	0	0	1	0	0	0	0.009	0.014	0.019	1	0.904	0.008	0	0.018	0	0	0.914	0	0	0	0	0	0	0.019	0	0	0	0	0	0	0	1	1	0.225	0.001	0	1	0.021	0.014	0.001	1	1	0.075	0.075	0	0.037	0	0.944	0	0	0	0	0	0	0	0	1
MMRF_1171_1_BM_CD138pos_pair	0	0	0	0	0.038	0.038	0	0	0.963	0.963	0.013	0	0	0	0.005	0.019	0.019	0.845	0.75	0	0	0.805	0.819	0.034	0.034	0	0.008	1	0	0.004	0	0	0	0	0.774	0.776	0.014	0.014	0	0	0.004	0.004	0.004	0.018	0.02	0.015	0	0	0.028	0.013	0	0	0	0.887	0	0	0	0	0	0	0.017	0.003	0	0	0	0	0.927	0	0	0	0.026	0	0.125	0.139	0.024	0.024	0	0	0	0	0.028	0.987
MMRF_1178_1_BM_CD138pos_pair	0.007	0.885	0	0	1	1	0	0	0.029	0.018	1	1	0.164	0.166	0	0	0	0.931	0.851	0.016	0.036	0.006	0.007	0.01	0.01	0	0.031	1	0	0	0	0	0	0	0	0	0.029	0.016	0	0	0	0	0	0	0.006	0.005	0	0	0.031	0.031	0	0	0	0	0	0	0.017	0.017	0	0	0	0	0	0	0	0	0.983	0	0	0	0.023	0.021	0.023	0.025	0.944	0.039	0.03	0.03	0	0	0.039	0.002
MMRF_1179_1_BM_CD138pos_pair	0.002	0.002	0.02	0.006	0.014	0.015	0.01	0.017	0.013	0.009	0.007	0.007	0.017	0.015	0.005	0.009	0.009	0.012	0.007	0.006	0.006	0.011	0.004	0	0	0	0	0	0	0.007	0.008	0.026	0	0	1	0	0	0.007	0	0	0	0.966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.002	0	0	0.988	0.99	0.994	0.422	0	0.047	0.007	0.005	0	0	0.003	0.009	0	0.038	0.003	0	0.012	0.969
MMRF_1180_1_BM_CD138pos_pair	0.029	1	0	0.001	0	0	0.008	0.008	0.007	0.007	0.012	0.012	0	0	0.002	0.005	0.994	0.017	0	0	0	0.022	0	0.022	0.022	0	0.061	0	0	0	0	0	0	0	0	0	0.029	0.053	0	0.038	0	0	0	0	0.002	0	0.008	0.006	0	0	0	0	0	0	0.008	0.002	0	0	0	0.04	0.002	0.004	0	0.008	0	0	0.943	0	0	0.033	0.011	0.01	0.023	0.037	0	0	0.068	0.061	0	0	0.024	0
MMRF_1185_1_BM_CD138pos_pair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.008	0.054	0.054	0	0	0	0	0.009	0.046	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0.048	0.304	0.304	0.304	0.317	0.007	0.011	0.017	0.015	0.019	0.019	0.018	0.011	0.004	0.004	0.021	0.019	0.003	0.002	0	0	0.003	0	0.021	0.011	0	0	0.416	0.377	0.377	0	0.036	0.025	0	0.01	0.009	0.009	0.008	0.008	0.204	0.188	0.016	0
MMRF_1188_1_BM_CD138pos_pair	0.02	0.954	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023	0	0	0	0	0	0	0	0	0	0.012	0.122	0	0	0	0	0	0	0	0	0
MMRF_1189_1_BM_CD138pos_pair	0	1	0.005	0.005	0.007	0.008	0	0.002	0	0.01	0	0.005	0.006	0	0	0.01	0.01	0.004	0.059	0	0	0	0	0.001	0.001	0	0	0	0	0	0	0	0.005	0.005	0	0	0.008	0	0	0	0.014	0.014	0.692	0	0	0	0	0	0.006	0	0.003	0	0.002	0	0	0.002	0.008	0	0	0	0.019	0.003	0.005	1	0	0	0.005	1	0.014	0.02	0.024	0.614	0.019	0.019	0	0	0.04	0.034	0	0.013	0.005	0.022
MMRF_1195_1_BM_CD138pos_pair	0.009	0.963	0.002	0.002	0.005	0.005	0	0	1	1	0.01	0.01	0.037	0.037	0	0.011	0.982	1	0.972	0.894	0.806	1	1	0	0.059	0	0	0.816	0	0	0.027	0.027	0	0	1	1	0.815	0.764	0	0	0.006	0.006	0	0	0	0	0	0	0.036	0.011	0	0	0	0	0	0	0.446	0	0	0	0	0	0	0	0.071	0	0.996	0	0	0	0.097	0.091	0	0	0.017	0.017	0	0	0	0	0.011	0.069
MMRF_1202_1_BM_CD138pos_pair	0.015	0.82	0	0	0	0	0.009	0.007	0	0	0	0.006	0	0	0.02	0.018	0.018	0.048	0	0	0	0.012	0	0	0.046	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0.008	0.009	0.012	0	0	0	0.001	0.008	0	0.017	0.01	0	0	0	0.06	0.021	0	0	0.01	0.008	0	0.928	0	0	0.029	0.018	0.042	0.008	0.087	0.029	0.006	0.026	0.054	0.025	0	0.023	0.686
MMRF_1210_1_BM_CD138pos_pair	0.003	0.008	1	1	0.007	0.01	0.987	0.994	1	1	0.013	0.01	1	1	0.002	0.808	0	1	1	0.01	0.01	1	0.995	0.018	0.018	0.008	0.011	1	0	0	0.001	0.022	0	0	1	1	1	1	1	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.008	0.024	0.015	0	0.001	0.001	0	0	0	0	0	0
MMRF_1216_1_BM_CD138pos_pair	0.066	1	0.992	0.005	0	0	0.387	0.017	0.027	0.005	0.019	0.019	0	0	0	0.014	0.014	0	0	0	0.009	0.027	0.001	0.024	0.037	0	0.072	0.5	0	0	0	0	0.003	0.003	0	0	0.034	0.034	0.002	0.021	0	0	0	0	0	0	0.003	0.003	0	0	0	0	0	0	0.019	0.009	0.353	0	0.012	0.012	0.575	0	0	0	0	0	0.938	0	0	0	0.006	0.019	0.004	0.049	0	0	0.076	0.057	0	0	0	0
MMRF_1231_1_BM_CD138pos_pair	0	0	0.013	0	0.001	0	0	0	0	0.002	0	0	0.005	0.01	0	0.003	0.003	0.049	0	0.002	0	0	0	0	0	0	0	0	0	0	0.019	0	0.004	0.004	0	0	0.009	0	0	0	0	0	0	0.004	0	0.001	0	0.008	0.002	0.002	0.006	0	0.004	0.004	0	0	0	0	0	0.006	0	0.002	0.008	0.005	0.001	0.003	0.042	0	0	0.024	0.008	0	0.003	0.013	0	0	0.017	0.004	0	0.009	0.014	0.023
MMRF_1235_1_BM_CD138pos_pair	0	0.841	0.003	0.001	0.004	0	0.035	0.035	0.005	0.019	0.012	0.012	0	0	0.032	0.032	0.032	0.095	0	0	0	0.014	0	0	0.038	0	0	0	0	0	0	0	0	0	0	0	0.054	0.002	0	0	0.97	0.97	0.97	0	0	0	0	0.026	0	0	0	0	0	0	0.04	0.048	0	0	0	0.078	1	0.999	0	0	0	0	0.93	0.865	0.862	0.053	0.078	0.972	0.072	0.071	0.01	0.01	0.106	0.106	0	0	0.026	0.95
MMRF_1250_1_BM_CD138pos_pair	0.026	0.826	0	0	0.91	0.82	0	0	1	1	0.947	0.963	0.838	0.831	0.017	0.004	0.002	1	1	0.004	0.015	0.795	0.795	0.055	0.052	0	0.905	1	0.027	0	0	0	0	0	0.798	0.8	0.071	0.051	0	0	0	0	0	0	0.013	0.014	0	0	0.023	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.922	0	0	0	0	0	0.105	0.142	0.022	0.022	0	0	0	0	0.033	0.935
MMRF_1251_1_BM_CD138pos_pair	0.01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.004	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0.001	0.001	0	0	0.004	0	0	0	0	0	0	0	0.002	0.992	0	0	0.004	0.001	0.003	0.003	0.008	0.997	0.022	0.015	0.004	0.004	0.002	0.011	0.022	0	0.023	0	0.011	0.01	0.99	0.114	0.114	0.043	0.02	0	0.011	0.01	0	0	0.021	0.022	0	0.012	0.096	1
