sample	chr_10p	chr_10q	chr_11p	chr_11q	chr_12p	chr_12q	chr_13q	chr_14q	chr_15q	chr_16p	chr_16q	chr_17p	chr_17q	chr_18p	chr_18q	chr_19p	chr_19q	chr_1p	chr_1q	chr_20p	chr_20q	chr_21q	chr_22q	chr_2p	chr_2q	chr_3p	chr_3q	chr_4p	chr_4q	chr_5p	chr_5q	chr_6p	chr_6q	chr_7p	chr_7q	chr_8p	chr_8q	chr_9p	chr_9q	chr_11q_BIRC2	chr_11q_CCND1	chr_1p_CDKN2C	chr_1q_CKS1B	chr_16q_CYLD	chr_1p_EVI5	chr_14q_MAX	chr_8q_MYC	chr_8q_MYC_enhancer	chr_10q_NFKB2	chr_1p_NOTCH2	chr_13q_RB1	chr_1p_TENT5C	chr_17p_TP53	chr_14q_TRAF3
MMRF_2745_1_BM_CD138pos_pair	1.99|0.0017	1.9952|0.0012	2.0054|0.0013	1.6684|0.0012	1.9986|0.001	1.9986|0.001	1.0047|0.0012	0.999|0.0012	2.0067|0.0022	1.9832|0.0032	1.9719|0.0017	1.9372|0.0025	1.938|0.0021	2.0348|0.0013	2.0348|0.0013	2.0006|0.0021	2.0054|0.0029	1.9832|0.0013	1.9877|0.0011	1.9696|0.0014	1.9696|0.0014	2.0074|0.0026	1.9533|0.003	1.99|0.0011	1.9945|9e-04	2.0099|8e-04	2.0092|0.001	2.0269|9e-04	2.0251|0.0012	2.0247|8e-04	2.0247|8e-04	2.0095|8e-04	2.0095|8e-04	2.0169|0.0014	2.3035|0.0013	1.0034|0.0011	1.0122|0.0016	2.0227|0.002	1.9859|0.0018	1.6698|0.0012	2.0068|0.0013	1.9875|0.0011	1.989|0.0011	1.9734|0.0017	1.9875|0.0011	0.9856|0.0043	1.0097|0.0014	1.0097|0.0014	1.9967|0.0011	1.9875|0.0011	1.0041|9e-04	1.9875|0.0011	1.9387|0.0025	0.9947|0.001
MMRF_2746_1_BM_CD138pos_pair	1.832|0.0026	1.9891|0.001	2.0201|9e-04	2.0201|9e-04	2.026|0.001	2.026|0.001	0.9949|6e-04	1.006|9e-04	2.0217|0.0016	2.0038|0.0027	2.0115|0.0017	2.0159|0.0013	2.0159|0.0013	0.9967|0.0023	2.0086|0.0013	3.0386|0.0066	3.017|0.0045	1.0988|8e-04	3.0239|0.0015	2.0199|0.0014	2.0199|0.0014	2.0112|0.0019	2.0002|0.0029	2.023|0.0011	2.0184|9e-04	2.0248|8e-04	2.0248|8e-04	2.0239|8e-04	2.0239|8e-04	2.0967|0.0016	2.0229|9e-04	2.0206|0.0016	2.0285|0.0013	2.0171|9e-04	2.0171|9e-04	2.0175|9e-04	2.0175|9e-04	2.0167|0.001	2.0167|0.001	2.0022|9e-04	2.0022|9e-04	1.0617|6e-04	3.0059|0.0015	1.9935|0.0017	1.0617|6e-04	0.9819|9e-04	1.9996|9e-04	1.9996|9e-04	1.9711|0.001	2.0176|0.0065	0.977|6e-04	1.0617|6e-04	1.998|0.0013	0.9963|0.001
MMRF_2750_1_BM_CD138pos_pair	2.0109|0.0017	2.0018|0.001	2.01|0.0013	1.9827|0.0014	2.0086|9e-04	2.0086|9e-04	2.0013|0.001	1.9757|0.0013	2.0137|0.0012	2.0161|0.0024	2.0054|0.0018	2.0238|0.0017	2.0322|0.002	2.0068|0.0012	2.0068|0.0012	2.0277|0.0034	2.0519|0.0033	2.0084|0.001	4.0362|0.0295	2.0098|0.0019	2.0325|0.0018	2.0076|0.0018	2.0224|0.0018	2.0035|0.0011	2.0014|8e-04	2.0008|9e-04	2.0006|9e-04	2.0009|7e-04	2.0009|7e-04	1.9976|0.0016	2.0034|0.001	2.0067|9e-04	2.0078|8e-04	2.0037|8e-04	2.0037|8e-04	2.0016|8e-04	2.0016|8e-04	2.0017|0.0016	2.008|0.0012	1.9992|0.0012	1.9992|0.0012	2.0016|0.001	2.0043|0.001	1.9994|0.0016	2.0016|0.001	2.0016|0.0011	1.9948|8e-04	1.9948|8e-04	1.995|0.001	2.0016|0.001	1.9945|0.001	2.0016|0.001	2.017|0.0017	2.0016|0.0011
MMRF_2751_1_BM_CD138pos_pair	2.0073|0.0025	2.0145|0.0014	2.0171|0.001	2.0171|0.001	1.0144|0.0011	2.0187|0.0011	1.198|0.0021	1.0135|0.001	2.0286|0.0017	2.0263|0.0035	2.0072|0.0018	2.0215|0.0014	2.0215|0.0014	1.0124|0.0016	1.9868|0.0015	2.0339|0.0031	2.0221|0.0022	1.1408|0.0019	2.0278|0.0011	1.0109|0.0012	2.0186|0.002	2.0145|0.002	1.019|0.002	2.0131|0.0015	2.0106|0.001	2.0134|0.0011	2.0117|0.0015	1.9772|0.001	2.0114|8e-04	2.0127|0.0019	1.8397|0.003	2.0176|0.001	1.1903|0.0019	2.0051|0.0016	2.0118|0.0011	2.0125|0.001	1.9949|0.0014	2.0168|0.0018	2.0109|0.0014	2.0037|0.001	2.0037|0.001	2.0037|0.0012	2.0144|0.0011	1.9937|0.0018	1.1274|0.0019	1|0.001	2.0002|0.0026	2.0002|0.0026	2.0001|0.0012	1.9628|0.003	1.1893|0.0019	1.9628|0.003	2.0081|0.0014	2.0083|0.0029
MMRF_2752_1_BM_CD138pos_pair	1.9987|9e-04	1.9987|9e-04	2.0079|9e-04	2.0079|9e-04	2.0066|9e-04	2.0066|9e-04	1.9188|0.001	1.9978|0.0012	2.0037|0.0015	2.0193|0.002	2.0007|0.0015	2.0223|0.0017	2.0194|0.0017	1.9944|0.0011	1.9944|0.0011	2.0301|0.0019	2.0475|0.0028	2.0089|0.0013	2.023|0.0011	2.0201|0.0013	2.0201|0.0013	1.9966|0.0018	2.0396|0.0041	2.0028|0.001	1.9972|8e-04	1.9982|8e-04	1.9997|0.001	1.9929|7e-04	1.9929|7e-04	1.9983|9e-04	1.9969|8e-04	2.0136|0.0016	2.0025|0.0013	1.9998|8e-04	1.9998|8e-04	1.9991|8e-04	1.9991|8e-04	2.1032|0.0016	2.1042|0.0012	2.0088|9e-04	2.0088|9e-04	2.005|0.001	2.0233|0.001	2.0016|0.0015	2.005|0.001	2.0035|0.0011	2|8e-04	2|8e-04	1.9995|9e-04	2.005|0.001	1.9197|0.001	2.005|0.001	2.0232|0.0017	2.0035|0.0011
MMRF_2753_1_BM_CD138pos_pair	1.9952|0.001	1.9952|0.001	1.9981|0.0014	1.987|0.0015	2.0018|0.001	2.0018|0.001	0.9895|9e-04	0.9858|0.001	1.973|0.0015	1.0031|0.0023	0.9861|0.001	1.9913|0.0019	1.9878|0.0021	1.9983|0.0013	1.9983|0.0013	1.991|0.0018	1.991|0.0018	1.0987|0.0028	2.9951|0.0036	1.9975|0.0015	1.9975|0.0015	2.0013|0.002	1.9896|0.002	1.9998|0.0012	1.9997|9e-04	1.9946|0.0013	2.004|0.001	2.0063|8e-04	2.0063|8e-04	2.0067|0.0019	2.0015|0.001	2.0075|0.001	2.0065|9e-04	1.9993|9e-04	1.9993|9e-04	2.001|0.001	2.001|0.001	2.9975|0.0016	2.9975|0.0016	2.0054|0.0014	1.9993|0.0014	1.9764|0.0012	2.9946|0.0034	0.9873|0.001	1.0939|0.0025	0.987|0.001	2.0022|0.001	2.0022|0.001	1.9964|0.001	1.1088|0.0032	0.9894|0.001	1.1088|0.0032	1.9925|0.0019	1.9853|0.0026
MMRF_2754_1_BM_CD138pos_pair	1.9937|0.001	1.9937|0.001	2.0009|0.001	2.0009|0.001	2.0079|0.001	2.0079|0.001	1.9752|0.0012	1.9975|0.0023	2.0234|0.003	1.9822|0.0027	1.9807|0.002	2.0198|0.0014	2.0198|0.0014	1.9809|0.0014	1.9809|0.0014	2.0142|0.0022	2.0226|0.0029	2.0064|0.0019	3.0761|0.0021	2.0028|0.0015	2.0028|0.0015	1.9859|0.002	1.8245|0.005	2.0015|0.0014	1.9901|0.001	1.9943|8e-04	1.994|0.001	1.9871|8e-04	1.9871|8e-04	1.9885|9e-04	1.9885|9e-04	2.0057|0.001	0.9329|0.0019	1.9898|0.001	1.9898|0.001	1.9863|0.001	1.9863|0.001	1.9778|0.0027	1.9947|0.0014	2.0071|0.001	2.0071|0.001	2.0151|0.0015	3.0869|0.0019	1.9884|0.0018	2.005|0.0018	2.0059|0.0016	1.9926|0.001	1.9926|0.001	2|0.001	2.005|0.0018	1.9815|0.0012	2.005|0.0018	2.0261|0.0014	2.001|0.0022
MMRF_2755_1_BM_CD138pos_pair	1.999|9e-04	1.999|9e-04	4.182|0.0029	4.1642|0.002	2.0033|9e-04	2.0033|9e-04	2.011|0.001	1.9892|0.0012	3.0893|0.0017	3.0472|0.0042	1.4525|0.0017	2.9818|0.0046	3.0347|0.0034	2.0075|0.0012	2.0075|0.0012	3.0097|0.0038	3.0414|0.0043	1.9473|0.0026	2.0182|0.001	3.1008|0.0029	3.0635|0.0025	3.091|0.0026	1.9627|0.0018	1.977|0.0012	2.0505|8e-04	3.1043|0.0011	3.1043|0.0011	2.0099|7e-04	2.0099|7e-04	3.1062|0.0011	3.1062|0.0011	3.1289|0.0034	2.5561|0.0015	3.0541|0.0012	3.0541|0.0012	2.0071|8e-04	2.0071|8e-04	4.1881|0.0031	4.0641|0.0051	4.1571|0.002	4.1571|0.002	1.9905|0.0011	2.0111|0.001	1.4549|0.0016	1.9905|0.0011	1.9917|0.0011	2|8e-04	2|8e-04	1.9919|9e-04	2.002|0.0022	2.0039|0.001	2.002|0.0022	2.986|0.0039	1.9917|0.0011
MMRF_2756_1_BM_CD138pos_pair	2.0123|0.001	2.0123|0.001	4.0451|0.0018	4.0451|0.0018	2.0168|0.001	2.0168|0.001	2.024|0.0011	2.0081|0.0013	3.0455|0.0024	1.9847|0.0013	1.9847|0.0013	1.9842|0.0035	2.0073|0.0015	3.057|0.0018	3.057|0.0018	2.9957|0.0029	2.9906|0.0039	2.0145|7e-04	2.0145|7e-04	2.0089|0.0021	1.9966|0.0018	2.0175|0.0019	1.9771|0.0019	2.0076|0.0011	2.0167|9e-04	3.0516|0.0011	3.0516|0.0011	2.0299|8e-04	2.0299|8e-04	2.033|0.0032	2.0311|0.0027	2.0202|0.0015	1.0355|0.0015	2.0156|9e-04	2.0156|9e-04	1.6844|0.0016	2.0127|0.0015	3.0591|0.0025	3.0245|0.0019	4.0305|0.0018	4.0305|0.0018	2|7e-04	2|7e-04	1.9702|0.0013	2|7e-04	2.0001|0.0012	2.0006|0.0025	2.0006|0.0025	1.9978|0.001	2|7e-04	2.0095|0.0011	2|7e-04	1.9735|0.0029	2.0001|0.0012
MMRF_2757_1_BM_CD138pos_pair	1.9815|0.0013	1.6282|0.0035	1.9871|0.0012	1.9871|0.0012	1.9587|0.002	1.6347|0.0012	1.0034|0.001	1.003|8e-04	2.02|0.0022	1.9969|0.0038	1.02|0.0013	1.0137|0.0013	1.082|0.002	1.9875|0.0031	2.3507|0.0021	2.0357|0.0041	2.0094|0.0039	1.0081|0.001	1.9882|0.0014	2.0038|0.0018	2.0038|0.0018	2.0113|0.0024	1.9958|0.0037	2.0506|0.0038	1.9799|0.0013	1.9793|0.001	1.9793|0.001	2.9822|0.0085	1.9795|0.0013	2.0008|0.002	1.9208|0.0011	1.9797|0.0016	1.0003|7e-04	1.6467|0.0019	2.0038|0.0015	1.575|0.0024	1.9924|0.0013	2.027|0.0032	2.3976|0.0019	1.9931|0.0012	1.9931|0.0012	0.6476|0.0068	1.9944|0.0014	2.0004|0.003	1.006|9e-04	1.0089|8e-04	1.9983|0.0013	1.9983|0.0013	1.9875|0.0013	1.9936|0.0085	1.0045|0.0012	1.006|9e-04	1.0196|0.0013	1.0089|8e-04
MMRF_2758_1_BM_CD138pos_pair	2.0389|0.0067	2.0244|0.0057	3.1382|0.0017	3.3812|0.0024	2.0017|0.0011	2.0017|0.0011	1.9794|0.0013	1.9981|0.0033	4.1825|0.0024	1.99|0.0015	1.99|0.0015	2|0.0015	2|0.0015	1.9965|0.0014	1.9965|0.0014	3.0562|0.0062	3.0703|0.0032	0.9287|0.0016	3.5599|0.061	3.0766|0.0022	3.0766|0.0022	2.0005|0.0021	1.9668|0.0031	2.0018|0.0013	1.9946|0.0017	3.0977|0.002	3.0947|0.0019	1.9915|9e-04	1.9915|9e-04	3.1221|0.0013	3.1221|0.0013	1.9025|9e-04	1.9025|9e-04	1.9934|0.001	1.9934|0.001	1.9907|0.001	1.9907|0.001	3.078|0.0031	3.0819|0.0027	3.1442|0.0017	3.1442|0.0017	2.0039|0.0016	2.013|0.0012	1.996|0.0015	0.9312|0.0014	2.003|0.0019	1.9966|0.001	1.9966|0.001	2.046|0.0058	0.941|0.002	1.9854|0.0013	0.941|0.002	2.006|0.0015	2.0132|0.0028
MMRF_2760_1_BM_CD138pos_pair	1.992|0.001	1.992|0.001	2.0016|0.001	2.0016|0.001	2.0014|0.0027	2.0018|0.0011	1.0034|6e-04	1.0043|8e-04	1.9925|0.002	1.9546|0.0021	0.9936|0.0012	1.9594|0.0019	1.9736|0.0021	2.0105|0.0013	2.0105|0.0013	1.9363|0.0041	1.9455|0.0029	1.998|0.001	1.9988|0.0018	1.9921|0.0014	1.9921|0.0014	2.0142|0.002	1.9541|0.0028	2.0095|0.0012	2.0112|9e-04	2.0116|8e-04	2.0116|8e-04	2.0242|8e-04	2.0242|8e-04	2.0179|0.0022	1.8915|0.0019	2.9919|0.0026	2.022|0.001	2.0053|9e-04	2.0053|9e-04	2.0079|9e-04	2.0079|9e-04	2.0057|0.0024	1.9937|0.0012	2|0.001	2|0.001	1.9964|0.001	1.9973|0.0032	0.9913|0.001	1.9964|0.001	1.0028|8e-04	2.0063|9e-04	2.0063|9e-04	1.9904|0.001	1.9964|0.001	1.0019|6e-04	1.9964|0.001	1.9578|0.0019	1.995|0.002
MMRF_2761_1_BM_CD138pos_pair	1.9965|0.0018	2.0114|0.0013	2.015|0.001	2.015|0.001	1.0077|0.0021	1.9299|0.0018	1.0172|8e-04	2.0221|0.0016	2.0081|0.0019	1.9583|0.0032	1.9815|0.002	1.9814|0.0029	2.0188|0.0031	2.0213|0.0017	1.9643|0.0027	1.9507|0.0021	1.9501|0.0031	2.0047|0.0014	2.0096|0.0013	2.0085|0.0022	2.0012|0.0026	2.0253|0.002	0.9927|0.0019	2.0357|0.0022	2.0194|0.001	2.0139|0.0012	2.02|0.0014	2.0281|9e-04	2.0268|0.0011	2.0222|0.0023	2.0186|0.001	2.0247|0.001	2.0225|0.0013	2.014|0.0015	2.0114|0.0012	2.0163|0.001	2.0144|0.0012	1.9958|0.004	1.9981|0.0014	2.001|0.001	2.001|0.001	1.9957|0.0011	1.9968|0.0012	1.9707|0.0018	1.9957|0.0011	1.9998|0.0013	2.0023|0.001	2.0023|0.001	1.9965|0.0012	1.9957|0.0011	1.004|6e-04	1.9957|0.0011	1.9683|0.0031	1.9998|0.0013
