cna	estimate	SE	quasiSE	quasiVar	CNA_type	timing	boot
amp_chr_10p	-2.248113886197876	0.11331108992861612	0.10530906386755932	0.011089998932661688	Amp	2.248113886197876	1
amp_chr_10q	-2.213970969293807	0.08789399429508932	0.07711698398265138	0.005947029218580509	Amp	2.213970969293807	1
amp_chr_11p	-3.9496934250546665	0.22544844686987364	0.22110222389486278	0.04888619341125403	Amp	3.9496934250546665	1
amp_chr_11q	-0.7510463618290596	0.10827106571895932	0.09948079984663084	0.009896429538125426	Amp	0.7510463618290596	1
amp_chr_12p	-3.284993832601474	0.10662116163478742	0.09798796021389435	0.00960164034687974	Amp	3.284993832601474	1
amp_chr_12q	-3.644422924811413	0.09547896002165254	0.08555736348311443	0.007320062446181763	Amp	3.644422924811413	1
amp_chr_13q	-5.4921325974148285	0.1652435642472992	0.15954182930851263	0.025453595299106575	Amp	5.4921325974148285	1
amp_chr_14q	-4.107041248724574	0.0846271762797499	0.07317513783791874	0.005354600797598407	Amp	4.107041248724574	1
amp_chr_15q	-3.653525704469684	0.09548883504675085	0.08508445686783567	0.007239364800494589	Amp	3.653525704469684	1
amp_chr_16p_BCMA	-2.8446416290185454	0.09185778777843853	0.08143791647369499	0.0066321342395765205	Amp	2.8446416290185454	1
amp_chr_16q	-4.357367062297025	0.12963090491304963	0.12232848118584638	0.014964257309235972	Amp	4.357367062297025	1
amp_chr_17p	-2.1322502399183754	0.08660323861087435	0.07591440840021187	0.005762997402754159	Amp	2.1322502399183754	1
amp_chr_17q	-2.510779446594602	0.07376847566265679	0.06053764286259074	0.003664806203358583	Amp	2.510779446594602	1
amp_chr_18p	-1.5540730776951202	0.0650432324379054	0.05016386546269682	0.002516413398159547	Amp	1.5540730776951202	1
amp_chr_18q	-1.4655631175458337	0.06296662743837608	0.04749115890860502	0.0022554101744823745	Amp	1.4655631175458337	1
amp_chr_19p	-2.670687503427172	0.08491668042746184	0.07319090832996088	0.005356909062164736	Amp	2.670687503427172	1
amp_chr_19q	-3.254618646559955	0.19169200888492133	0.1868273092309084	0.03490444347446147	Amp	3.254618646559955	1
amp_chr_1p	-4.054817423565769	0.12657454544252994	0.11901514946214695	0.014164605801497176	Amp	4.054817423565769	1
amp_chr_1q_MCL1	-0.6399213900770289	0.053188511960068456	0.03477412143705258	0.0012092395217188799	Amp	0.6399213900770289	1
amp_chr_20p	-3.8292323313995875	0.08336181954307709	0.0717765791910639	0.005151877320371067	Amp	3.8292323313995875	1
amp_chr_20q	-3.398552212316008	0.0781156908182176	0.06565404475372422	0.004310453592524023	Amp	3.398552212316008	1
amp_chr_21q	-2.7183561192257297	0.11816249711091542	0.1098826177487466	0.012074189683317159	Amp	2.7183561192257297	1
amp_chr_22q	-4.224574637842589	0.10269324755466092	0.09327059840951912	0.008699404527669792	Amp	4.224574637842589	1
amp_chr_2p	-2.652452608566661	0.06712783131360496	0.052122369097773805	0.002716741360364566	Amp	2.652452608566661	1
amp_chr_2q	-2.81607105569755	0.07883605896126976	0.06659820388524218	0.004435320760740287	Amp	2.81607105569755	1
amp_chr_3p	-0.11347187985875683	0.1419246967140569	0.13534582241787627	0.0183184916459713	Amp	0.11347187985875683	1
amp_chr_3q_TERC	-0.9243001713722568	0.11890013969486483	0.1109113231607758	0.012301321605274043	Amp	0.9243001713722568	1
amp_chr_4p	-2.2728487172830225	0.08096437375713368	0.06922617655323872	0.004792263520180177	Amp	2.2728487172830225	1
amp_chr_4q	-2.5495541222104285	0.07482501451503956	0.061658149526275484	0.003801727403004546	Amp	2.5495541222104285	1
amp_chr_5p	-2.299209437710653	0.1510224042544086	0.14472654103266744	0.020945771679280373	Amp	2.299209437710653	1
amp_chr_5q	0.5775769645293761	2.0353294014644154	2.0348844856751804	4.140754870041544	Amp	-0.5775769645293761	1
amp_chr_6p	-1.0448470019636769	0.06202659120817674	0.04620564323080236	0.002134961466372192	Amp	1.0448470019636769	1
amp_chr_6q	-2.247736032016916	0.06826047210954893	0.05407365631630752	0.002923960307414144	Amp	2.247736032016916	1
amp_chr_7p	-3.8431872158506315	0.3266165098920756	0.32358186266008815	0.10470522184257217	Amp	3.8431872158506315	1
amp_chr_7q	-3.277682948921976	0.1901053078674483	0.18512019883275577	0.03426948801587903	Amp	3.277682948921976	1
amp_chr_8p	-3.6667525857056114	0.10412769400485235	0.09496766954957257	0.009018858259676814	Amp	3.6667525857056114	1
amp_chr_8q_MYC_amp	-1.490002675868871	0.06060653623282122	0.04491310129463251	0.00201718666790192	Amp	1.490002675868871	1
amp_chr_9p	-2.706798816379857	0.15184406567065029	0.1456538848141432	0.0212150541614517	Amp	2.706798816379857	1
amp_chr_9q	-2.5900559241517374	0.09902677324418815	0.08919735547657807	0.007956168224015032	Amp	2.5900559241517374	1
del_chr_10p	-2.4981816346942205	0.07546644648092857	0.062208294528233	0.0038698719081113843	Del	2.4981816346942205	1
del_chr_10q	-2.8730614115035844	0.08519088071408919	0.07359311721306494	0.005415946901135915	Del	2.8730614115035844	1
del_chr_11p	-2.1105206602722553	0.09022585366134606	0.0798016866782616	0.006368309196695435	Del	2.1105206602722553	1
del_chr_11q_BIRC2	-3.0123183372438196	0.10643315243250745	0.09750039424516974	0.009506326877963529	Del	3.0123183372438196	1
del_chr_12p	-1.9156014287439194	0.06273774199435211	0.046447640616846496	0.002157383318871728	Del	1.9156014287439194	1
del_chr_12q	-1.8524099384236483	0.06382528062666136	0.04782052710082412	0.0022868028122006545	Del	1.8524099384236483	1
