cna	med_timing	mean_timing	sd	min	max	first_q	third_q	n
HyperDiploidy	0	0	0	0	0	0	0	20
del_chr_13q	0.8401492469412908	0.9527421692036055	0.3397371785635567	0.37998835182665985	1.7556592376286986	0.7223201266586329	1.1642976021505558	20
del_chr_14q_MAX	0.8531065167323215	0.8794188387220011	0.333042098491198	0.3003147685389482	1.7063985214002273	0.6480398997119373	1.0711894295437316	20
amp_chr_11q	0.8611890070344206	0.928448242176982	0.6717805109703588	-0.2876231792739143	1.9394552748771035	0.6323076587819021	1.6419812427490554	20
amp_chr_1q_MCL1	1.0127185389115545	1.1184480656125169	0.316147154630888	0.6399213900770289	1.9911840028794625	0.9077610540697889	1.2808882921006592	20
amp_chr_3q_TERC	1.095524177946063	1.0968276306814724	0.6136395340872187	0.0826885092285934	2.327163490919297	0.5369163905855113	1.5278058404958261	20
amp_chr_6p	1.3195307200432786	1.3976323590675774	0.35854855430562604	0.9381633208879404	2.1192784085081287	1.1373046797349005	1.564129145245077	20
amp_chr_18q	1.3812608788105205	1.435429337873268	0.3007105227192151	0.9812352541814864	2.037220128127836	1.221298611867756	1.6939651431737552	20
del_chr_1p_EVI5	1.441447311017733	1.4175478386111584	0.3234298844096293	0.782426866276541	1.9236847258573095	1.1884101145309274	1.6080229007307016	20
del_chr_16q_CYLD	1.4923601155523287	1.5024682241784526	0.2817268779243593	0.9589177635001425	2.1154563908917035	1.3049375559542609	1.677134905293041	20
amp_chr_18p	1.5092967718740216	1.5365431380136176	0.3603381164079585	0.8848126796784362	2.4098919550777214	1.391591303436016	1.6979009838553698	20
amp_chr_3p	1.6633825789078471	1.4617567721370381	0.7091836874782841	0.11347187985875683	2.458111931272315	1.0240672538356437	1.875150276169377	20
del_chr_6q	1.684470624354303	1.6868033053391862	0.263422491502559	1.1274796421849298	2.1202726804103964	1.5655344778542801	1.8183037975199214	20
del_chr_1p_TENT5C	1.7931065411680631	1.7675545198953884	0.2993498648690185	1.2375099134894954	2.221372818407053	1.5723398907075037	1.9331062597096005	20
del_chr_22q_XBP1	1.826723455080474	1.7737725960003097	0.30354450644679387	1.1395873699651506	2.442944649794788	1.4971200592658154	1.8998250651930468	20
del_chr_8q_MYC_del	1.8998450398130964	1.8308352965182715	0.5508003444181456	0.6389637339850379	2.906497688332137	1.4373709063140434	2.2064331140833495	20
del_chr_8p	1.8998652466781065	1.944434064621729	0.3652022365082988	1.45869654025457	2.872957872021841	1.7285214329027518	2.120723495323719	20
amp_chr_8q_MYC_amp	1.9123010548420054	1.941661709577773	0.3634117375710417	1.3850214048441858	2.6836830848404767	1.7084670390428192	2.2028776728481603	20
amp_chr_17p	2.0545872797796694	2.0586363484053236	0.3646636458050095	1.4574069027060972	2.8256649071670945	1.737541475023814	2.320072982169279	20
del_chr_1p_CDKN2C	2.1641954295141357	2.1660854577092588	0.3306084679974431	1.5705098200935368	2.6584371739857504	1.9787435566728246	2.4582959912925797	20
del_chr_20p	2.1813913704422045	2.1832745113547793	0.39921767193270413	1.5220194240885334	2.9138600108373636	1.8962205181382448	2.4148003185008027	20
del_chr_12p	2.1918210103092157	2.1456215662510085	0.2401938973458614	1.7113102783642407	2.5689156853259125	1.9274752000460564	2.3251950425250296	20
amp_chr_6q	2.201281329719904	2.1969880638791786	0.33124236250087646	1.6494514385474237	2.807341997022306	1.9591132174502315	2.4137490471117022	20
amp_chr_4p	2.2825005236785065	2.32274366929165	0.3340560989299588	1.8043823012825504	3.3143671995652615	2.101983427697245	2.4540446188372558	20
amp_chr_10p	2.2863211839560442	2.256219885542585	0.49205548345183214	1.0462021116370497	3.166484703787191	2.076447435426451	2.5116379546872736	20
amp_chr_4q	2.3001480445511717	2.3889011952529544	0.4191808215775951	1.9243017639687203	3.2795086137059646	2.0481432688543983	2.576707686084694	20
del_chr_12q	2.3002991378987447	2.2703245785119477	0.4186829197008134	1.5421907553296064	2.9232495302067942	1.8922936495844673	2.6425235128594333	20
amp_chr_9p	2.386163686126436	2.457632163593255	0.4409269477029025	1.651687807054068	3.286292525104544	2.1619682099236983	2.7204743517413448	20
del_chr_2p	2.3942347845802554	2.2979553403540613	0.7793453013554408	0.6644383356816349	3.584373610534135	1.9584802325917925	2.769583961463864	20
del_chr_2q_SP140	2.4183199245322577	2.427211184871893	0.4023646102830873	1.6036686887170715	3.034009612889022	2.2785401723732326	2.770143399918289	20
del_chr_21q	2.4602412368069615	2.5114280737220867	0.6510637833520018	1.5236586913027317	3.8128746489029375	2.2128238329401215	2.6968303932736117	20
amp_chr_17q	2.4860415975290278	2.428834093713931	0.3257066345863258	1.718364268551602	3.0135277717695366	2.297434477030585	2.6232639411834118	20
del_chr_4q	2.537710868386604	2.5164631163787265	0.3917442302467259	1.944501898882004	3.114199933850271	2.1160673017796983	2.8700903413795436	20
del_chr_3p	2.537754038059941	2.595196632686698	0.9172403308603697	1.0262168796744122	4.268129013173124	1.9783710476515215	3.133047183511734	20
amp_chr_10q	2.562544315630082	2.5800397520922975	0.3424597105487327	1.9614554102469108	3.1190628894067265	2.3351065339667834	2.820708634323303	20
del_chr_20q	2.5687699003407305	2.6749148717093645	0.34978282582425707	2.13074501204921	3.3764592998496736	2.393587446129147	2.9321766293057996	20
amp_chr_9q	2.5875171067157416	2.6190928927151846	0.38729814376450733	1.9719550994166664	3.227568235622384	2.3333431296759883	2.965878209706081	20
amp_chr_2q	2.6601659408578415	2.6209719490858885	0.38667562200679523	1.872328943173521	3.244497900553861	2.360059259420691	2.9559327781485423	20
