cna	estimate	SE	quasiSE	quasiVar	CNA_type	timing	no_call	calls	observ
del_chr_17q	-4.28034243937518	0.36417520050065577	0.3421136819728296	0.11704177139300638	Del	4.28034243937518	159	5	164
del_chr_18p	-6.5220086039199385	0.9449066971027371	0.9349355510226418	0.8741044845660109	Del	6.5220086039199385	161	3	164
del_chr_18q	-4.72366787931552	0.4076234883805077	0.3868579939786876	0.14965910750521427	Del	4.72366787931552	161	3	164
del_chr_19p	-7.295647659242074	1.4865927222379933	1.4811454757577935	2.1937919203577803	Del	7.295647659242074	160	4	164
del_chr_19q	-6.263779112730619	0.6052156677018424	0.5909877376419688	0.3492665060431725	Del	6.263779112730619	158	6	164
del_chr_1p_CDKN2C	-1.7134707896042027	0.27107878651169964	0.2463306700895921	0.060678799026787474	Del	1.7134707896042027	156	8	164
del_chr_1p_EVI5	-1.2012344485468114	0.20110081126093077	0.16504973146210855	0.02724141385571414	Del	1.2012344485468114	149	15	164
del_chr_1p_TENT5C	-2.17660343198644	0.20094909867001232	0.16163659934234512	0.026126390246957804	Del	2.17660343198644	151	13	164
del_chr_1q	-1.2239747332055044	0.26723647517804666	0.23827893892608742	0.056776852735742095	Del	1.2239747332055044	160	4	164
del_chr_20p	-1.9643398125867835	0.20095674129693789	0.16090206183030034	0.02588947350124179	Del	1.9643398125867835	150	14	164
del_chr_20q	-2.2274909882832428	0.18766665109969047	0.1449568311136062	0.021012482886498547	Del	2.2274909882832428	152	12	164
del_chr_21q	-2.215453636985864	0.5362056790801929	0.5203823197525316	0.27079775871102596	Del	2.215453636985864	161	3	164
del_chr_22q_XBP1	-0.8663435574913143	0.21271660585564892	0.17925359218611686	0.03213185031162669	Del	0.8663435574913143	140	24	164
del_chr_2p	-2.491533502715239	0.26376205278899656	0.23289905827090512	0.054241971343474464	Del	2.491533502715239	159	5	164
del_chr_2q_SP140	-2.328322930177442	0.22925763721031586	0.1934571714056343	0.037425677168268966	Del	2.328322930177442	156	8	164
del_chr_3p	-5.055290666354432	0.48262983933611114	0.4657789065238697	0.21694998976257177	Del	5.055290666354432	158	6	164
del_chr_3q_BCL6	-3.863912818244677	0.3362106798753905	0.31414368028306217	0.0986862518617868	Del	3.863912818244677	158	6	164
del_chr_4p_NSD2	-3.8793144924455985	0.3626814565775846	0.34113765604801366	0.11637490037393289	Del	3.8793144924455985	161	3	164
del_chr_4q	-3.8097808535292574	0.30207861933276164	0.27622921281522755	0.07630257801252029	Del	3.8097808535292574	157	7	164
del_chr_5p	-3.6603555419452	0.3674850800888778	0.34676980305442945	0.12024929631040777	Del	3.6603555419452	159	5	164
del_chr_5q	-3.916216503430777	1.679246403369558	1.6747693538877098	2.804852388721457	Del	3.916216503430777	163	1	164
del_chr_6p	-5.698474965087887	0.8779851628653828	0.8691351280051969	0.75539587073261	Del	5.698474965087887	161	3	164
del_chr_6q	-1.8028633385553359	0.15730003282916194	0.1042097272069436	0.0108596672445456	Del	1.8028633385553359	134	30	164
del_chr_7p	-2.8669102581928936	0.2524324215260687	0.22068416119070713	0.048701499000446014	Del	2.8669102581928936	156	8	164
del_chr_7q	-6.639020144290098	1.546626084401558	1.5404905017032844	2.373110985838037	Del	6.639020144290098	162	2	164
del_chr_8p	-2.4622412912164826	0.17898056494546796	0.13229626115892146	0.01750230071662955	Del	2.4622412912164826	151	13	164
del_chr_8q_MYC_del	-0.5290938587416517	0.4219906210855093	0.4039252551792501	0.16315561177162233	Del	0.5290938587416517	162	2	164
del_chr_9p	-3.023752627026792	0.33933123119197955	0.31697025354542036	0.10047014163264807	Del	3.023752627026792	159	5	164
del_chr_9q	-4.22882412611844	0.8200032656664333	0.8095438880627168	0.6553613066997005	Del	4.22882412611844	162	2	164
HyperDiploidy	0	0	0.11977733753741868	0.014346610587552726	Amp	0	88	76	164
