matchID	player1	player2	win1	win2	total_matches_performed
1	amp_chr_1p	amp_chr_1q_MCL1	0	42	11
2	amp_chr_1p	amp_chr_2p	3	14	6
3	amp_chr_1p	amp_chr_2q	6	14	7
4	amp_chr_1p	amp_chr_3p	0	0	0
5	amp_chr_1p	amp_chr_3q_TERC	0	0	0
6	amp_chr_1p	amp_chr_4p	0	36	10
7	amp_chr_1p	amp_chr_4q	0	52	16
8	amp_chr_1p	amp_chr_5p	0	0	0
9	amp_chr_1p	amp_chr_5q	0	5	1
10	amp_chr_1p	amp_chr_6p	12	46	22
11	amp_chr_1p	amp_chr_6q	5	20	7
12	amp_chr_1p	amp_chr_7p	0	0	0
13	amp_chr_1p	amp_chr_7q	0	0	0
14	amp_chr_1p	amp_chr_8p	4	0	1
15	amp_chr_1p	amp_chr_8q_MYC_amp	4	0	1
16	amp_chr_1p	amp_chr_9p	0	0	0
17	amp_chr_1p	amp_chr_9q	0	0	0
18	amp_chr_1p	amp_chr_10p	11	16	7
19	amp_chr_1p	amp_chr_10q	11	17	8
20	amp_chr_1p	amp_chr_11p	0	0	0
21	amp_chr_1p	amp_chr_11q	0	0	0
22	amp_chr_1p	amp_chr_12p	9	0	5
23	amp_chr_1p	amp_chr_12q	8	0	4
24	amp_chr_1p	amp_chr_13q	3	0	1
25	amp_chr_1p	amp_chr_14q	10	15	8
26	amp_chr_1p	amp_chr_15q	0	0	0
27	amp_chr_1p	amp_chr_16p_BCMA	0	17	10
28	amp_chr_1p	amp_chr_16q	11	16	12
29	amp_chr_1p	amp_chr_17p	0	27	11
30	amp_chr_1p	amp_chr_17q	0	32	13
31	amp_chr_1p	amp_chr_18p	0	10	4
32	amp_chr_1p	amp_chr_18q	0	10	4
33	amp_chr_1p	amp_chr_19p	0	0	0
34	amp_chr_1p	amp_chr_19q	0	0	0
35	amp_chr_1p	amp_chr_20p	15	17	9
36	amp_chr_1p	amp_chr_20q	15	17	9
37	amp_chr_1p	amp_chr_21q	0	1	1
38	amp_chr_1p	amp_chr_22q	0	15	10
39	amp_chr_1p	del_chr_1q	0	0	0
40	amp_chr_1p	del_chr_2p	12	0	5
41	amp_chr_1p	del_chr_2q_SP140	12	0	5
42	amp_chr_1p	del_chr_3p	1	0	1
43	amp_chr_1p	del_chr_3q_BCL6	1	0	1
44	amp_chr_1p	del_chr_4p_NSD2	18	24	13
45	amp_chr_1p	del_chr_4q	8	0	5
46	amp_chr_1p	del_chr_5p	12	4	9
47	amp_chr_1p	del_chr_5q	12	0	5
48	amp_chr_1p	del_chr_6p	0	0	0
49	amp_chr_1p	del_chr_6q	7	21	10
50	amp_chr_1p	del_chr_7p	4	9	6
51	amp_chr_1p	del_chr_7q	4	2	2
52	amp_chr_1p	del_chr_8p	9	11	6
53	amp_chr_1p	del_chr_8q_MYC_del	5	5	3
54	amp_chr_1p	del_chr_9p	1	1	2
55	amp_chr_1p	del_chr_9q	0	0	0
56	amp_chr_1p	del_chr_10p	1	5	2
57	amp_chr_1p	del_chr_10q	1	5	2
58	amp_chr_1p	del_chr_11p	3	1	2
59	amp_chr_1p	del_chr_11q_BIRC2	0	3	2
60	amp_chr_1p	del_chr_12p	1	4	3
61	amp_chr_1p	del_chr_12q	1	0	1
62	amp_chr_1p	del_chr_13q	9	74	24
63	amp_chr_1p	del_chr_14q_MAX	0	6	2
64	amp_chr_1p	del_chr_15q	0	0	0
65	amp_chr_1p	del_chr_16p	0	2	2
66	amp_chr_1p	del_chr_16q_CYLD	0	21	6
67	amp_chr_1p	del_chr_17p	2	4	5
68	amp_chr_1p	del_chr_17q	2	1	2
69	amp_chr_1p	del_chr_18p	12	0	5
70	amp_chr_1p	del_chr_18q	12	0	5
71	amp_chr_1p	del_chr_19p	1	0	1
72	amp_chr_1p	del_chr_19q	1	0	1
73	amp_chr_1p	del_chr_20p	0	5	1
74	amp_chr_1p	del_chr_20q	0	4	2
75	amp_chr_1p	del_chr_21q	1	0	1
76	amp_chr_1p	del_chr_22q_XBP1	1	35	9
77	amp_chr_1p	HyperDiploidy	0	109	31
78	amp_chr_1q_MCL1	amp_chr_2p	27	1	9
79	amp_chr_1q_MCL1	amp_chr_2q	12	1	5
80	amp_chr_1q_MCL1	amp_chr_3p	0	0	0
81	amp_chr_1q_MCL1	amp_chr_3q_TERC	3	0	3
82	amp_chr_1q_MCL1	amp_chr_4p	0	22	7
83	amp_chr_1q_MCL1	amp_chr_4q	9	25	12
84	amp_chr_1q_MCL1	amp_chr_5p	5	0	2
85	amp_chr_1q_MCL1	amp_chr_5q	2	5	2
86	amp_chr_1q_MCL1	amp_chr_6p	35	42	28
87	amp_chr_1q_MCL1	amp_chr_6q	41	31	18
88	amp_chr_1q_MCL1	amp_chr_7p	0	0	0
89	amp_chr_1q_MCL1	amp_chr_7q	4	0	2
90	amp_chr_1q_MCL1	amp_chr_8p	13	0	3
91	amp_chr_1q_MCL1	amp_chr_8q_MYC_amp	17	0	4
92	amp_chr_1q_MCL1	amp_chr_9p	0	0	0
93	amp_chr_1q_MCL1	amp_chr_9q	1	2	2
94	amp_chr_1q_MCL1	amp_chr_10p	30	12	10
95	amp_chr_1q_MCL1	amp_chr_10q	20	12	10
96	amp_chr_1q_MCL1	amp_chr_11p	8	0	2
97	amp_chr_1q_MCL1	amp_chr_11q	0	1	1
98	amp_chr_1q_MCL1	amp_chr_12p	32	12	16
99	amp_chr_1q_MCL1	amp_chr_12q	25	6	13
100	amp_chr_1q_MCL1	amp_chr_13q	16	0	4
