cna	med_timing	mean_timing	sd	min	max	first_q	third_q	n
HyperDiploidy	0	0	0	0	0	0	0	20
amp_chr_3q_TERC	0.15637009933427415	0.37715255667400394	0.9764773666292411	-1.7860695354268605	2.235973428792542	-0.030256898136459657	0.9953677207884588	20
amp_chr_11q	0.7451306019970556	0.9143073074187278	0.8122441135397703	-0.7346808132575774	2.457063473499514	0.464273057821588	1.4395438388844202	20
del_chr_13q	0.8563334377997767	0.863520894808424	0.4085515474323518	0.22188770787562254	1.8789334965042213	0.537214192505494	1.125744328603796	20
amp_chr_1q_MCL1	0.973317288178743	0.9460189686921211	0.3381202500106351	0.4126031634706102	1.551283235375067	0.7213736881046887	1.2172354035143098	20
del_chr_14q_MAX	1.3125824159129942	1.2170803459625472	0.45606059231864415	0.10529706392139579	1.9947679168087546	0.9423675617380802	1.5835668323170877	20
del_chr_19p	1.3696768671846096	1.5165910385455552	0.6341253867065519	0.581801924647276	2.9632213865496237	0.9475145888052651	1.9786909434088045	20
del_chr_1p_EVI5	1.3976089138110042	1.3807947323577439	0.45019463324543596	0.6255909522274495	2.1445757094420537	1.143213879872446	1.5962958159560814	20
amp_chr_6p	1.624476847438935	1.6385376392373387	0.29781267128613653	1.0987383129913244	2.1861037961467757	1.4703059920683894	1.8487585041726502	20
amp_chr_11p	1.6444290331496836	2.0439570183098734	1.2786220226997929	0.2608114711868786	5.098100290253403	1.1904152446777045	2.8269118126922983	20
del_chr_16q_CYLD	1.6943975262959288	1.7288262232067935	0.38746454679920983	1.099419152185199	2.440735567489295	1.42741874289722	2.055700152970579	20
amp_chr_17p	1.782521222469275	1.824977089140791	0.250704986406141	1.3335855134683392	2.195935162965382	1.6976203118828825	2.0159896205961054	20
del_chr_1p_TENT5C	1.8504167114240024	1.984464384712844	0.4324009023071205	1.2333555951754012	2.88029307287366	1.6586554474646062	2.376205392984781	20
del_chr_22q_XBP1	1.887489993632071	1.855194542420195	0.4433879414318058	1.1633408369335483	2.9300639216497526	1.5722905416756818	2.129545267679203	20
del_chr_6q	1.895380580619872	1.9129327920507198	0.28680315298295644	1.3754023757993805	2.431424070834052	1.7289163943845538	2.1232293351885416	20
amp_chr_17q	1.9382964166689634	1.8957778993229986	0.21704788072967468	1.5595260245710232	2.289017621848795	1.718391144944125	2.0583567583047166	20
amp_chr_4p	1.9783511859731002	1.8875286305868078	0.4061369011051167	0.9824602718351734	2.297026527060954	1.8021295419856607	2.19711272693738	20
amp_chr_18q	1.9788770436406256	2.121484152671841	0.36774885582988137	1.5586009165566312	3.061804451475706	1.8788404239084229	2.3303976110808997	20
del_chr_19q	1.9824992341317285	2.0224379225617133	0.5061668629617576	1.0582695940577571	3.2317270315028885	1.7640635601640733	2.271360539907872	20
amp_chr_4q	2.010363255695975	1.9560647359849157	0.3914984038925194	1.027428915596618	2.4829400483839184	1.7572603981882773	2.2684389113031056	20
amp_chr_2p	2.0269860893918468	2.150098565076936	0.4973672878796732	1.3371465836142724	3.123960500492887	1.8174274777411947	2.6105575753754446	20
del_chr_4p_NSD2	2.0758175171067084	1.9935101249948155	0.41789841677057044	1.2928889224974989	2.660766291295692	1.6599330454549694	2.3511009206501954	20
amp_chr_18p	2.076819038552096	2.159504869824703	0.3762675645090028	1.6536995053179253	3.1408056043724755	1.8931798630650873	2.361776650294822	20
del_chr_8p	2.1591716540128996	2.11975232238772	0.4515740805046027	1.2838446102192045	3.093387401707373	1.8672603098646574	2.4358351620197816	20
amp_chr_20p	2.2084434336868255	2.1973554395265467	0.4941536733041817	0.822619987695293	2.874053500270565	2.027911308831407	2.486993978227105	20
del_chr_1p_CDKN2C	2.2361998251631077	2.1856524473767998	0.4800442587012812	1.3222888312321899	3.0638027585265415	1.9697757908290146	2.4307283550030263	20
amp_chr_10q	2.2551270498284373	2.2885843154931704	0.5313138550035424	1.278144980210794	3.096881918740887	1.9199686398256806	2.86186804909865	20
amp_chr_19p	2.2965366151125393	2.5366707975170373	0.671873489792191	1.6802647478367434	4.453661268584774	2.1683163843296307	2.8279052826946836	20
del_chr_21q	2.419207595453862	2.5488902315961863	0.6866445840623919	1.6257071412875612	4.369046072920296	2.0968043027830143	3.016769778271664	20
amp_chr_16p_BCMA	2.4436704775999902	2.5876198860282416	0.3083622138970539	2.1506240020680543	3.084982980619229	2.3489480141583297	2.888973405793985	20
amp_chr_20q	2.4795689336424185	2.435051007985675	0.4189189891806138	1.2982625781824848	3.130976632012437	2.274058856911565	2.695292339747171	20
del_chr_4q	2.5307894679016574	2.611155663730592	0.4139358843253919	1.9078832482747776	3.473517492782423	2.388766675492533	2.857753889814504	20
del_chr_20p	2.5438885674989002	2.4711232301367874	0.43337096931732766	1.7636678748261865	3.1712227327067315	2.1259999041955244	2.807307692044639	20
del_chr_17q	2.5623690006738444	2.5382575384001544	0.4878339227962318	1.3612154269526302	3.613554465635209	2.337599488709714	2.859202634668912	20
amp_chr_2q	2.5704396781603505	2.619398250954526	0.6824093057573513	1.6866435988520918	4.250512669055645	2.215471125339189	2.9228374189896793	20
del_chr_20q	2.5714211455990013	2.607422271871341	0.4606462025694441	1.8258652553794177	3.6383095658767686	2.2510278745241923	2.9612685899704134	20
amp_chr_5q	2.6045173682121265	2.741174193067202	1.1362212299423258	1.0286072763535643	5.305284522033486	2.05972944111219	3.2373555832603342	19
del_chr_17p	2.6065263633535416	2.6447919643940083	0.5727014199014577	1.1659893654943112	4.048333970620067	2.4042606814573544	2.864293297432808	20
amp_chr_22q	2.625167925438605	2.669385788970694	0.2528704253892616	2.070695395543902	3.170066002021752	2.5429163683880285	2.8014275151815493	20
amp_chr_9p	2.648939000721237	2.5812862315637677	0.8822360336943739	1.0067029109428165	3.999032927984992	1.9727079513283912	3.1835024970298784	20
amp_chr_10p	2.702426967824513	2.7634853615564765	0.6197689056663725	1.6931791958597164	4.081053754234803	2.2806258415377423	3.1820651611967152	20
del_chr_16p	2.7166733998244843	2.7462187256254924	0.4292749092809996	2.022436134497263	3.5896185373076874	2.4959720912322627	2.929882509527674	20
amp_chr_12p	2.7179442231180326	2.8130977809067477	0.40573829477004203	2.1033904804874575	3.4386237250129708	2.51212177476988	3.2303389105971414	20
del_chr_7q	2.7249558332249233	2.5148562245581343	1.0816944595258968	0.4115438659613625	4.878140474559679	1.7652495472773877	3.2366028041311736	20
del_chr_9p	2.7449342911181063	2.801706803421117	0.8853446597341944	1.4098140637374637	5.391587831792273	2.401325218755633	3.1583272698297176	20
amp_chr_14q	2.7977523502402253	2.917014266303667	0.5458073368307543	2.116977695102105	4.3886642908527556	2.502663923022095	3.1662781085328	20
del_chr_3q_BCL6	2.813513775161149	2.761786606717535	0.7298749762997334	1.5554540590750037	4.159785321643831	2.123004751520759	3.2975158091785497	20
del_chr_7p	2.828207370022117	2.817663358089306	0.659632792463338	1.5104913116078633	4.379286212428254	2.44103218929678	3.157758263134969	20
del_chr_11q_BIRC2	2.884912181537339	2.789852369791108	0.9314548893178103	0.6411990010084567	4.77469597655458	2.356313884565063	3.359475562778722	20
del_chr_10p	2.8947974577825493	2.8637603086299004	0.6086809374617194	1.642737168013033	3.9040333933067513	2.371230830545823	3.2298364570905442	20
amp_chr_19q	2.9163502468733284	3.0169371599123522	0.9473725543702071	1.5293532812399213	5.289781936510161	2.3701786515476035	3.6433396434505676	20
amp_chr_16q	2.920541291648866	3.012043710812988	0.35365065266193874	2.46229163535292	3.7994306094248644	2.7447228781761503	3.2642311434313216	20
amp_chr_5p	2.9271034160898277	2.820490184988744	0.660650975430746	1.5679511515133384	3.976676344949143	2.2673957501795226	3.3029695243695674	20
amp_chr_9q	2.9347390494349375	3.029898245757068	0.5099836246231261	2.3131946405598436	4.004888974837061	2.6606933671817505	3.34282632729413	20
del_chr_8q_MYC_del	2.9606352197533266	2.9952268820110146	0.7138644089479453	1.602071740326314	4.6794238898924005	2.5676242285725785	3.356034767926342	20
amp_chr_1p	3.05985848806436	3.0152168977374276	0.324565436275549	2.4796593923801415	3.5736887979196634	2.7617377799946183	3.2541384511480884	20
del_chr_9q	3.061904048415375	3.256406290924514	1.256404709885538	2.0762001217624935	7.750966179377228	2.451850743835451	3.5107876887143576	20
amp_chr_6q	3.082908880465955	3.0901261390485595	0.5274155152722474	1.9912035314250145	4.007923557988363	2.849870308145289	3.4253730173876726	20
amp_chr_7q	3.218702309662083	3.253512632656062	0.5824346730143727	2.1158331368193535	4.076719535169657	2.8422765392682328	3.7212618881197264	19
amp_chr_12q	3.222555452960086	3.187659460156165	0.5874227348999524	2.1391030783017144	4.250898090244225	2.81805837913977	3.605487465905868	20
del_chr_1q	3.2445745422346484	3.268030750371858	1.687038810207752	-0.047786182033281374	5.712051114844146	2.133716595105908	4.9504918277938765	20
del_chr_2q_SP140	3.351078145519761	3.371534501656905	0.6873222553299017	2.1383755564687883	4.627302052041381	2.9598672459143183	3.877698028279172	20
amp_chr_8q_MYC_amp	3.394029514300036	3.2789299917827974	0.5968860170615823	2.1518424157750604	4.0925736715075844	2.9191911770206613	3.689818428539281	20
del_chr_18q	3.4496603111394433	3.3829103991072533	0.5382794873344011	2.382586993661843	4.2619198869750345	3.057680860177402	3.695385542048614	20
del_chr_18p	3.4884884823753164	3.3194591676067216	0.8738836514484782	0.5705563918443636	4.664992172515295	2.7662102399602237	3.83405435645437	20
del_chr_5p	3.548272641623261	3.5707580878627314	0.7289309034746637	2.0195949945566656	5.291027219175732	3.118303826274091	3.815591005783065	20
del_chr_11p	3.6489528999755074	4.045144974714959	1.935541914782691	1.949563566642617	9.229083025512582	2.8566024721439547	4.305457995518603	20
amp_chr_3p	3.6865362216612327	4.353258578319005	1.289630409535113	3.1157331288270367	7.167823960894547	3.3073128658568676	5.566130289759243	18
del_chr_10q	3.7219848634185153	3.7203343476269146	0.7559075098518061	2.404977636319737	5.427275294531257	3.0786001521108326	4.16675445865364	20
del_chr_12p	3.8723686793371077	3.9755436095000807	0.5702865523365347	3.1876454247262673	5.57107495915627	3.5159808299697306	4.276392215856558	20
del_chr_5q	3.969865900379146	4.053159198688711	0.7066625743219509	2.507052953319971	5.753150782708597	3.700482231768489	4.300243682914285	20
amp_chr_21q	3.9716139029711197	3.8697754287723733	1.0911199262061866	1.8639815116741705	7.008438679126646	3.3438672410600856	4.288687478112111	20
del_chr_3p	4.08339146576399	4.225297556221545	0.6730471463366811	3.0020387055982103	5.757885623603495	3.7880192415993634	4.765083672804103	20
del_chr_12q	4.157208291852324	4.265954392991324	0.6738191095652589	3.3853329732524613	6.0502693077381675	3.8145066360489266	4.7459246273101225	20
amp_chr_7p	4.15920867929649	4.2840767577943195	0.5144832239370868	3.45971256773222	5.320016137869971	4.0147953248576025	4.4247735773798835	10
del_chr_6p	4.272847201055435	4.348087460109572	1.0175437284402362	3.103815328922738	7.313239176189609	3.609810926666709	4.5461628006088795	20
amp_chr_8p	4.290647988956545	4.3614926393705895	0.6691567475702725	3.3975638042148697	6.413061266191797	3.9548482157273126	4.614457424389339	20
amp_chr_13q	4.3249364480962225	4.765942133779914	1.5012944827783379	2.578806755799852	8.429920678662977	3.829932774358553	5.119478758687093	20
amp_chr_15q	4.392804738198153	4.672441022054174	0.751137486067696	3.686507138816012	6.016115041166153	4.091202591101704	5.38342648812146	20
del_chr_2p	4.504792144272864	4.418629698109914	0.774904688960112	2.980184282128099	5.998623225678862	3.913370165650025	4.877600478987642	20
del_chr_15q	4.868173080515417	4.867457870448067	0.953755594808179	3.234385065689454	7.749465096807635	4.3170152826273736	5.294542216399106	20
