matchID	player1	player2	win1	win2	total_matches_performed
1	amp_chr_1p	amp_chr_1q_MCL1	0	47	12
2	amp_chr_1p	amp_chr_2p	8	22	9
3	amp_chr_1p	amp_chr_2q	11	7	7
4	amp_chr_1p	amp_chr_3p	0	0	0
5	amp_chr_1p	amp_chr_3q_TERC	0	15	3
6	amp_chr_1p	amp_chr_4p	12	11	9
7	amp_chr_1p	amp_chr_4q	12	23	13
8	amp_chr_1p	amp_chr_5p	0	0	0
9	amp_chr_1p	amp_chr_5q	0	0	0
10	amp_chr_1p	amp_chr_6p	10	17	13
11	amp_chr_1p	amp_chr_6q	9	12	6
12	amp_chr_1p	amp_chr_7p	0	0	0
13	amp_chr_1p	amp_chr_7q	0	0	0
14	amp_chr_1p	amp_chr_8p	11	0	3
15	amp_chr_1p	amp_chr_8q_MYC_amp	11	0	3
16	amp_chr_1p	amp_chr_9p	0	0	0
17	amp_chr_1p	amp_chr_9q	0	0	0
18	amp_chr_1p	amp_chr_10p	10	8	5
19	amp_chr_1p	amp_chr_10q	10	10	7
20	amp_chr_1p	amp_chr_11p	0	0	0
21	amp_chr_1p	amp_chr_11q	0	0	0
22	amp_chr_1p	amp_chr_12p	9	0	7
23	amp_chr_1p	amp_chr_12q	11	0	7
24	amp_chr_1p	amp_chr_13q	11	0	7
25	amp_chr_1p	amp_chr_14q	10	10	7
26	amp_chr_1p	amp_chr_15q	0	0	0
27	amp_chr_1p	amp_chr_16p_BCMA	5	9	9
28	amp_chr_1p	amp_chr_16q	13	8	11
29	amp_chr_1p	amp_chr_17p	5	17	14
30	amp_chr_1p	amp_chr_17q	5	23	14
31	amp_chr_1p	amp_chr_18p	8	13	6
32	amp_chr_1p	amp_chr_18q	8	13	6
33	amp_chr_1p	amp_chr_19p	0	0	0
34	amp_chr_1p	amp_chr_19q	0	0	0
35	amp_chr_1p	amp_chr_20p	5	11	6
36	amp_chr_1p	amp_chr_20q	5	11	6
37	amp_chr_1p	amp_chr_21q	0	0	0
38	amp_chr_1p	amp_chr_22q	2	5	5
39	amp_chr_1p	del_chr_1q	0	0	0
40	amp_chr_1p	del_chr_2p	12	0	4
41	amp_chr_1p	del_chr_2q_SP140	16	0	5
42	amp_chr_1p	del_chr_3p	0	0	0
43	amp_chr_1p	del_chr_3q_BCL6	0	0	0
44	amp_chr_1p	del_chr_4p_NSD2	12	16	8
45	amp_chr_1p	del_chr_4q	2	0	2
46	amp_chr_1p	del_chr_5p	12	1	5
47	amp_chr_1p	del_chr_5q	12	0	4
48	amp_chr_1p	del_chr_6p	0	0	0
49	amp_chr_1p	del_chr_6q	15	8	8
50	amp_chr_1p	del_chr_7p	14	4	6
51	amp_chr_1p	del_chr_7q	14	0	4
52	amp_chr_1p	del_chr_8p	10	30	11
53	amp_chr_1p	del_chr_8q_MYC_del	10	10	5
54	amp_chr_1p	del_chr_9p	0	0	0
55	amp_chr_1p	del_chr_9q	0	0	0
56	amp_chr_1p	del_chr_10p	5	10	4
57	amp_chr_1p	del_chr_10q	1	10	3
58	amp_chr_1p	del_chr_11p	0	0	0
59	amp_chr_1p	del_chr_11q_BIRC2	0	0	0
60	amp_chr_1p	del_chr_12p	4	3	2
61	amp_chr_1p	del_chr_12q	4	4	2
62	amp_chr_1p	del_chr_13q	2	56	17
63	amp_chr_1p	del_chr_14q_MAX	0	5	1
64	amp_chr_1p	del_chr_15q	0	0	0
65	amp_chr_1p	del_chr_16p	0	1	1
66	amp_chr_1p	del_chr_16q_CYLD	0	5	2
67	amp_chr_1p	del_chr_17p	0	3	3
68	amp_chr_1p	del_chr_17q	0	1	1
69	amp_chr_1p	del_chr_18p	9	0	7
70	amp_chr_1p	del_chr_18q	9	0	7
71	amp_chr_1p	del_chr_19p	0	0	0
72	amp_chr_1p	del_chr_19q	0	0	0
73	amp_chr_1p	del_chr_20p	4	16	5
74	amp_chr_1p	del_chr_20q	0	16	4
75	amp_chr_1p	del_chr_21q	8	2	4
76	amp_chr_1p	del_chr_22q_XBP1	0	2	1
77	amp_chr_1p	HyperDiploidy	4	63	20
78	amp_chr_1q_MCL1	amp_chr_2p	29	2	11
79	amp_chr_1q_MCL1	amp_chr_2q	21	2	8
80	amp_chr_1q_MCL1	amp_chr_3p	14	0	5
81	amp_chr_1q_MCL1	amp_chr_3q_TERC	5	0	5
82	amp_chr_1q_MCL1	amp_chr_4p	12	8	9
83	amp_chr_1q_MCL1	amp_chr_4q	29	10	15
84	amp_chr_1q_MCL1	amp_chr_5p	7	0	3
85	amp_chr_1q_MCL1	amp_chr_5q	4	0	2
86	amp_chr_1q_MCL1	amp_chr_6p	40	11	21
87	amp_chr_1q_MCL1	amp_chr_6q	37	9	13
88	amp_chr_1q_MCL1	amp_chr_7p	0	0	0
89	amp_chr_1q_MCL1	amp_chr_7q	2	0	1
90	amp_chr_1q_MCL1	amp_chr_8p	16	0	4
91	amp_chr_1q_MCL1	amp_chr_8q_MYC_amp	25	6	13
92	amp_chr_1q_MCL1	amp_chr_9p	2	0	2
93	amp_chr_1q_MCL1	amp_chr_9q	9	2	3
94	amp_chr_1q_MCL1	amp_chr_10p	23	8	8
95	amp_chr_1q_MCL1	amp_chr_10q	18	8	9
96	amp_chr_1q_MCL1	amp_chr_11p	4	0	1
97	amp_chr_1q_MCL1	amp_chr_11q	0	0	0
98	amp_chr_1q_MCL1	amp_chr_12p	26	4	13
99	amp_chr_1q_MCL1	amp_chr_12q	12	2	9
100	amp_chr_1q_MCL1	amp_chr_13q	11	0	3
101	amp_chr_1q_MCL1	amp_chr_14q	14	10	8
102	amp_chr_1q_MCL1	amp_chr_15q	19	1	5
103	amp_chr_1q_MCL1	amp_chr_16p_BCMA	21	6	12
104	amp_chr_1q_MCL1	amp_chr_16q	37	5	14
105	amp_chr_1q_MCL1	amp_chr_17p	26	21	16
106	amp_chr_1q_MCL1	amp_chr_17q	35	25	20
107	amp_chr_1q_MCL1	amp_chr_18p	51	28	22
108	amp_chr_1q_MCL1	amp_chr_18q	51	28	24
109	amp_chr_1q_MCL1	amp_chr_19p	26	3	8
110	amp_chr_1q_MCL1	amp_chr_19q	4	0	1
111	amp_chr_1q_MCL1	amp_chr_20p	27	17	17
112	amp_chr_1q_MCL1	amp_chr_20q	40	11	14
113	amp_chr_1q_MCL1	amp_chr_21q	6	0	2
114	amp_chr_1q_MCL1	amp_chr_22q	66	5	20
115	amp_chr_1q_MCL1	del_chr_1p_CDKN2C	21	10	12
116	amp_chr_1q_MCL1	del_chr_1p_EVI5	17	19	12
117	amp_chr_1q_MCL1	del_chr_1p_TENT5C	18	12	12
118	amp_chr_1q_MCL1	del_chr_2p	26	1	8
119	amp_chr_1q_MCL1	del_chr_2q_SP140	34	2	14
120	amp_chr_1q_MCL1	del_chr_3p	12	0	5
121	amp_chr_1q_MCL1	del_chr_3q_BCL6	10	0	4
122	amp_chr_1q_MCL1	del_chr_4p_NSD2	28	6	13
123	amp_chr_1q_MCL1	del_chr_4q	15	0	6
124	amp_chr_1q_MCL1	del_chr_5p	36	1	11
125	amp_chr_1q_MCL1	del_chr_5q	20	0	6
126	amp_chr_1q_MCL1	del_chr_6p	8	0	3
127	amp_chr_1q_MCL1	del_chr_6q	46	11	23
128	amp_chr_1q_MCL1	del_chr_7p	27	6	12
129	amp_chr_1q_MCL1	del_chr_7q	18	0	6
130	amp_chr_1q_MCL1	del_chr_8p	78	38	30
131	amp_chr_1q_MCL1	del_chr_8q_MYC_del	32	10	10
132	amp_chr_1q_MCL1	del_chr_9p	18	0	6
133	amp_chr_1q_MCL1	del_chr_9q	7	0	3
134	amp_chr_1q_MCL1	del_chr_10p	26	14	11
135	amp_chr_1q_MCL1	del_chr_10q	31	14	12
136	amp_chr_1q_MCL1	del_chr_11p	20	0	4
137	amp_chr_1q_MCL1	del_chr_11q_BIRC2	20	7	7
138	amp_chr_1q_MCL1	del_chr_12p	61	0	18
139	amp_chr_1q_MCL1	del_chr_12q	62	1	19
140	amp_chr_1q_MCL1	del_chr_13q	37	56	34
141	amp_chr_1q_MCL1	del_chr_14q_MAX	30	5	11
142	amp_chr_1q_MCL1	del_chr_15q	8	0	4
143	amp_chr_1q_MCL1	del_chr_16p	36	6	11
144	amp_chr_1q_MCL1	del_chr_16q_CYLD	29	48	25
145	amp_chr_1q_MCL1	del_chr_17p	30	3	11
146	amp_chr_1q_MCL1	del_chr_17q	28	2	10
147	amp_chr_1q_MCL1	del_chr_18p	12	0	4
148	amp_chr_1q_MCL1	del_chr_18q	12	0	4
149	amp_chr_1q_MCL1	del_chr_19p	10	0	2
150	amp_chr_1q_MCL1	del_chr_19q	37	0	8
151	amp_chr_1q_MCL1	del_chr_20p	33	0	15
152	amp_chr_1q_MCL1	del_chr_20q	19	7	16
153	amp_chr_1q_MCL1	del_chr_21q	30	2	9
154	amp_chr_1q_MCL1	del_chr_22q_XBP1	37	26	18
155	amp_chr_1q_MCL1	HyperDiploidy	37	99	43
156	amp_chr_2p	amp_chr_2q	3	0	1
