ID	chr_10p	chr_10q	chr_11p	chr_11q	chr_12p	chr_12q	chr_13q	chr_14q	chr_15q	chr_16p	chr_16q	chr_17p	chr_17q	chr_18p	chr_18q	chr_19p	chr_19q	chr_1p	chr_1q	chr_20p	chr_20q	chr_21q	chr_22q	chr_2p	chr_2q	chr_3p	chr_3q	chr_4p	chr_4q	chr_5p	chr_5q	chr_6p	chr_6q	chr_7p	chr_7q	chr_8p	chr_8q	chr_9p	chr_9q	chr_3q_BCL6	chr_11q_BIRC2	chr_1p_CDKN2C	chr_16q_CYLD	chr_1p_EVI5	chr_14q_MAX	chr_1q_MCL1	chr_8q_MYC_amp	chr_8q_MYC_del	chr_4p_NSD2	chr_2q_SP140	chr_1p_TENT5C	chr_3q_TERC	chr_16p_BCMA	chr_22q_XBP1
SCI045	1.9802|0.0057	1.9802|0.0057	1.9443|0.0056	1.9443|0.0056	1.9674|0.0117	1.9625|0.0065	0.9649|0.0071	0.9823|0.0071	1.9805|0.0072	1.9922|0.011	1.9857|0.0096	1.9963|0.0071	1.9963|0.0071	1.1299|0.0162	1.9388|0.0088	1.9453|0.0099	1.9497|0.0182	1.9958|0.0044	1.9958|0.0044	1.2973|0.0171	1.9877|0.0108	1.9885|0.0199	2.0101|0.0106	1.9992|0.0084	2.0008|0.0057	1.9808|0.0047	1.9815|0.0057	1.9514|0.0159	2.0107|0.0057	1.9833|0.0062	1.9821|0.005	2.0022|0.0051	2.0022|0.0051	1.9978|0.0053	1.9978|0.0053	1.9985|0.0055	1.9985|0.0055	1.9615|0.0213	2.1012|0.0075	1.9808|0.0047	1.9443|0.0056	1.9958|0.0044	1.9855|0.0096	1.9958|0.0044	0.9823|0.0071	1.9958|0.0044	1.9985|0.0055	1.9985|0.0055	1.9795|0.012	2.0031|0.0055	1.9958|0.0044	1.9808|0.0047	1.9922|0.011	2.0101|0.0106
SCI046	2.0171|0.0035	2.0283|0.0029	1.9445|0.002	1.9445|0.002	1.9723|0.0021	1.9723|0.0021	1.0022|0.0026	1.0237|0.0036	1.9941|0.0039	1.0364|0.0026	1.0364|0.0026	2.0565|0.004	2.0564|0.0036	1.9817|0.0027	1.9817|0.0027	2.0198|0.0047	1.979|0.0038	2.0218|0.0016	2.021|0.0019	2.0073|0.0044	2.1135|0.0038	2.0205|0.0042	1.3566|0.0053	2.0214|0.0033	2.0209|0.002	1.9631|0.0033	1.9638|0.0027	2.0174|0.0035	2.0108|0.0022	1.9799|0.004	1.9895|0.0019	2.0295|0.0019	2.0295|0.0019	2.0065|0.004	2.0088|0.0043	2.0214|0.0031	2.0244|0.0027	2.9514|0.0038	2.9852|0.0043	1.9635|0.0024	1.9445|0.002	2.0218|0.0016	1.0364|0.0026	2.0218|0.0016	1.0237|0.0036	2.0218|0.0016	2.0252|0.0026	2.0252|0.0026	2.0174|0.0035	2.0205|0.002	2.0218|0.0016	1.9635|0.0024	1.0364|0.0026	1.3548|0.0042
SCI047	2.0132|0.0036	2.011|0.0044	2.8692|0.0052	2.8603|0.0041	1.3913|0.009	1.9761|0.0029	2.022|0.0038	2.0286|0.0036	2.9145|0.0027	1.984|0.0069	2.0781|0.0078	1.9779|0.005	1.8906|0.0082	2.0106|0.0034	2.0042|0.0044	3.7149|0.0043	3.0743|0.0061	0.9593|0.0048	1.9832|0.0022	1.9945|0.0067	1.9419|0.0065	1.989|0.0042	1.9338|0.0093	1.9752|0.004	2.0215|0.004	2.9411|0.0034	2.9469|0.0023	2.0382|0.0019	2.0382|0.0019	2.9493|0.0035	3.0281|0.0047	2.0245|0.0036	2.091|0.0064	1.9655|0.002	1.9655|0.002	2.0343|0.0033	2.0375|0.0021	2.9865|0.0041	2.9608|0.0035	2.9469|0.0023	2.8676|0.0031	1.9763|0.0029	2.0639|0.0058	0.9593|0.0048	2.0251|0.0026	1.9832|0.0022	2.0375|0.0021	2.0375|0.0021	2.0382|0.0019	2.0398|0.0042	1.9832|0.0022	2.9469|0.0023	1.9871|0.0052	1.9654|0.0053
SCI048	2.0529|0.0049	2.0417|0.0051	2.8879|0.0035	2.9024|0.0041	2.0347|0.0027	2.0347|0.0027	2.0693|0.0046	2.0558|0.0039	2.9234|0.0059	1.7571|0.0072	2.0813|0.0037	1.9612|0.0034	1.9612|0.0034	2.0725|0.0036	2.0725|0.0036	2.9192|0.0041	2.9192|0.0041	2.0035|0.0031	2.0137|0.0027	2.0101|0.0039	2.0325|0.005	3.0501|0.0104	1.9627|0.0074	2.0338|0.0034	2.038|0.0042	2.9795|0.0032	2.9795|0.0032	2.0357|0.0048	2.0912|0.005	3.0019|0.0042	3.0631|0.0038	2.1904|0.0103	2.1012|0.0045	3.03|0.0025	3.03|0.0025	2.0612|0.0026	2.0612|0.0026	4.083|0.0051	3.9235|0.0078	1.9792|0.0034	2.9127|0.0045	1.9996|0.0032	2.0813|0.0037	2.0137|0.0027	2.0615|0.0034	2.0137|0.0027	2.0612|0.0026	2.0612|0.0026	2.0382|0.0043	2.0641|0.0061	2.0137|0.0027	1.9792|0.0034	2.0813|0.0037	1.9737|0.0055
SCI049	2.0815|0.003	2.1041|0.002	3.0022|0.0026	2.9924|0.0018	2.043|0.0017	2.043|0.0017	1.8751|0.004	1.9792|0.0024	1.9888|0.0024	2.2107|0.0022	2.2107|0.0022	2.1173|0.0021	2.1173|0.0021	2.1084|0.0022	2.1084|0.0022	2.7646|0.0025	2.7646|0.0025	2.086|0.0013	2.086|0.0013	2.1124|0.0024	2.1124|0.0024	2.1313|0.0034	2.0959|0.0032	2.1026|0.0017	2.1026|0.0017	2.7806|0.002	2.7495|0.0037	2.0244|0.003	1.9875|0.0024	2.008|0.0015	2.008|0.0015	2.1074|0.0026	2.1152|0.0017	1.9713|0.0033	1.9761|0.0031	2.0575|0.0022	2.0866|0.0027	2.7454|0.0044	2.7406|0.0057	2.7407|0.004	2.9924|0.0018	2.086|0.0013	2.2107|0.0022	2.086|0.0013	1.9786|0.0021	2.086|0.0013	2.1236|0.0034	2.1236|0.0034	2.0307|0.003	2.0493|0.0019	2.086|0.0013	2.7423|0.0032	2.2107|0.0022	2.0959|0.0032
SCI050	2.0873|0.0037	2.091|0.0044	2.807|0.002	2.807|0.002	1.7329|0.0043	2.0681|0.0023	2.0918|0.0026	2.0707|0.0046	3.7237|0.0026	2.0524|0.0058	2.2088|0.0058	2.0255|0.003	2.1864|0.0073	2.0734|0.0027	2.0734|0.0027	2.8889|0.0047	2.8608|0.0038	1.9736|0.004	0.8534|0.0453	2.0851|0.0029	2.0851|0.0029	2.0619|0.0055	2.0929|0.0038	2.073|0.0021	2.087|0.0027	2.8933|0.0018	2.894|0.0023	2.0652|0.0035	1.8214|0.0038	2.5734|0.005	2.4828|0.0057	2.2789|0.0046	1.3893|0.0057	2.0046|0.0019	2.0046|0.0019	1.4422|0.0046	2.0986|0.0024	2.9401|0.0039	2.8274|0.0052	2.8933|0.0018	2.807|0.002	2.0782|0.0026	2.2069|0.0047	1.2696|0.0279	2.0222|0.0031	2.0373|0.0024	2.0986|0.0024	2.0986|0.0024	1.9905|0.0118	1.2357|0.028	1.7319|0.0054	2.8933|0.0018	2.1033|0.0042	2.0929|0.0038
SCI051	2.1068|0.0021	2.1032|0.0026	2.7084|0.0019	2.71|0.0024	2.0366|0.0019	2.0366|0.0019	2.1352|0.0024	2.1238|0.0024	2.809|0.0024	2.1315|0.0037	1.1801|0.0032	2.0703|0.0036	2.1876|0.005	2.0702|0.0031	2.0702|0.0031	3.4061|0.0044	3.3399|0.003	2.07|0.0026	2.0814|0.0022	2.0717|0.004	2.0657|0.0036	2.6759|0.0074	2.0665|0.0048	2.1155|0.0023	2.117|0.0018	2.6518|0.0023	2.6683|0.0041	2.1373|0.0025	2.1463|0.0017	2.8376|0.0033	2.1036|0.0019	2.8857|0.0047	1.2936|0.0033	2.8771|0.0041	2.894|0.0031	2.1363|0.0021	2.1403|0.0026	2.0375|0.0048	2.0146|0.004	2.6757|0.0044	2.7084|0.0019	2.0667|0.0023	1.1801|0.0032	2.0667|0.0023	2.1238|0.0024	2.0667|0.0023	2.1513|0.0041	2.1513|0.0041	2.0681|0.0087	2.117|0.0018	2.0667|0.0023	2.9522|0.0209	2.1315|0.0037	2.0648|0.004
SCI052	3.0745|0.002	3.0745|0.002	2.7079|0.0034	2.7321|0.0026	2.1378|0.004	2.1388|0.0032	2.0487|0.0033	1.5687|0.0049	3.9569|0.0026	2.9819|0.0056	2.1172|0.0054	2.0607|0.0054	2.0223|0.0066	2.1899|0.0027	2.1899|0.0027	3.9515|0.0045	2.9435|0.004	2.0024|0.0021	2.9539|0.0046	1.7642|0.0062	3.0176|0.0037	4.0703|0.0041	2.9889|0.0051	3.069|0.0035	3.0871|0.0033	2.7924|0.0044	2.8047|0.0033	3.113|0.0022	3.1257|0.0026	4.029|0.0036	3.9486|0.0026	2.0598|0.0018	2.0598|0.0018	3.0172|0.0064	3.0619|0.0059	1.8368|0.0067	2.0659|0.0043	2.8532|0.0038	3.6826|0.0027	2.7936|0.0032	2.7321|0.0026	2.0024|0.0021	2.1221|0.0052	2.0024|0.0021	1.0432|0.0065	3.0305|0.006	2.0394|0.0041	2.0394|0.0041	3.113|0.0022	3.1127|0.0048	2.0024|0.0021	2.7936|0.0032	3.0033|0.0049	2.9702|0.0043
SCI053	2.0216|0.0097	2.0216|0.0097	1.98|0.0096	1.98|0.0096	1.9932|0.0143	2.0024|0.0175	1.3907|0.012	1.7306|0.012	2.0582|0.0163	2.0377|0.0401	2.048|0.0164	2.0025|0.0121	2.0025|0.0121	2.0185|0.0129	2.0185|0.0129	1.9231|0.0169	1.9234|0.0225	2.0104|0.013	2.0128|0.011	2.023|0.0208	2.0293|0.0182	1.9857|0.0193	2.0396|0.0261	1.9977|0.0073	1.9977|0.0073	1.9946|0.0117	1.9794|0.0129	1.9501|0.0086	1.9501|0.0086	2.0156|0.0195	2.0507|0.0099	1.9896|0.0088	1.9896|0.0088	1.9915|0.0131	1.9781|0.0174	2.0107|0.0223	1.9996|0.0124	2.061|0.023	2.1138|0.0128	1.9778|0.0112	1.98|0.0096	2.0026|0.0109	2.048|0.0164	2.0026|0.0109	1.7306|0.012	2.0128|0.011	1.9953|0.0102	1.9953|0.0102	1.9501|0.0086	1.9977|0.0073	2.0026|0.0109	1.9778|0.0112	2.0339|0.0254	2.0181|0.0196
SCI054	2.0108|0.0034	2.0108|0.0034	2.2076|0.0048	2.9656|0.0048	1.9769|0.0034	1.9769|0.0034	1.031|0.0043	2.0406|0.0059	2.2499|0.0044	2.0264|0.0118	1.9724|0.0116	1.048|0.0119	2.0224|0.0084	2.0962|0.0046	2.0962|0.0046	1.9836|0.0084	1.9642|0.0121	2.0226|0.0048	2.0103|0.0047	1.9851|0.0074	1.9817|0.0064	2.0308|0.007	1.9398|0.0121	2.0103|0.0046	2.0194|0.0034	2.0495|0.0043	2.0476|0.0043	2.0001|0.0083	2.0247|0.0036	1.9898|0.003	1.9898|0.003	2.0253|0.0054	2.0347|0.0034	1.9951|0.0045	1.9969|0.0052	2.0176|0.0033	2.0176|0.0033	2.1529|0.0086	2.2029|0.0123	2.0475|0.0038	3.1526|0.0048	2.0164|0.0038	1.9538|0.0109	2.0164|0.0038	2.0502|0.0043	2.0117|0.004	2.0176|0.0033	2.0176|0.0033	1.9767|0.0125	2.0184|0.0033	2.0164|0.0038	2.0475|0.0038	2.0304|0.0104	1.9413|0.0116
