ID	chr_10p	chr_10q	chr_11p	chr_11q	chr_12p	chr_12q	chr_13q	chr_14q	chr_15q	chr_16p	chr_16q	chr_17p	chr_17q	chr_18p	chr_18q	chr_19p	chr_19q	chr_1p	chr_1q	chr_20p	chr_20q	chr_21q	chr_22q	chr_2p	chr_2q	chr_3p	chr_3q	chr_4p	chr_4q	chr_5p	chr_5q	chr_6p	chr_6q	chr_7p	chr_7q	chr_8p	chr_8q	chr_9p	chr_9q	chr_3q_BCL6	chr_11q_BIRC2	chr_1p_CDKN2C	chr_16q_CYLD	chr_1p_EVI5	chr_14q_MAX	chr_1q_MCL1	chr_8q_MYC_amp	chr_8q_MYC_del	chr_4p_NSD2	chr_2q_SP140	chr_1p_TENT5C	chr_3q_TERC	chr_16p_BCMA	chr_22q_XBP1
MMRF_1525_1_BM_CD138pos_pair	3.1119|0.0014	3.1119|0.0014	1.9748|0.001	1.9748|0.001	2.019|0.0014	2.0309|0.0019	2.0427|0.0012	1.6867|0.0018	3.0358|0.0034	2.0101|0.0014	2.0101|0.0014	1.9747|0.0021	1.9503|0.0028	1.9943|0.0017	1.9868|0.0019	3.0228|0.0025	3.0228|0.0025	2.0129|0.001	1.9954|0.0015	2.0366|0.0029	2.0371|0.0026	1.9931|0.0027	2.046|0.003	2|0.0021	1.9917|0.0013	3.0708|0.0022	3.0589|0.0016	1.9908|0.0018	1.9785|0.0014	3.0884|0.0012	3.0884|0.0012	3.0996|0.0012	3.0996|0.0012	3.0229|0.0014	3.0269|0.0018	2.0045|0.0023	2.0215|0.0014	2.9948|0.0015	2.9948|0.0015	3.0578|0.0013	1.9748|0.001	2.0129|0.001	2.0101|0.0014	2.0129|0.001	2.1681|0.0018	2.0129|0.001	2.0185|0.0013	2.0185|0.0013	2.0139|0.008	1.9904|0.0011	2.0129|0.001	3.0578|0.0013	2.0101|0.0014	2.0419|0.0023
MMRF_1531_1_BM_CD138pos_pair	1.9913|0.0024	2|0.0019	1.9767|0.0013	1.9767|0.0013	2.0316|0.0013	2.0316|0.0013	1.911|0.0014	2.0698|0.0021	2.9077|0.0024	2.0077|0.0029	1.061|0.0012	1.9348|0.0017	1.9348|0.0017	1.9985|0.0017	1.9985|0.0017	2.8531|0.0033	2.8531|0.0033	2.0436|0.0014	2.8739|0.0021	2.0266|0.0019	2.0266|0.0019	1.9801|0.0025	2.0862|0.0046	1.9973|0.0017	2.0057|0.0012	2.9588|0.0031	2.9085|0.0021	1.9985|0.0018	1.9916|0.0014	2.965|0.0028	2.9863|0.002	2.3646|0.0024	2.0533|0.0013	2.8619|0.0018	2.8641|0.0024	2.055|0.0046	2.0204|0.0013	2.9012|0.0033	2.8682|0.0025	2.9085|0.0021	1.9767|0.0013	2.0436|0.0014	1.061|0.0012	2.0436|0.0014	2.0711|0.0018	2.8739|0.0021	2.0204|0.0013	2.0204|0.0013	1.9985|0.0018	2.0057|0.0012	2.0436|0.0014	2.9085|0.0021	2.0077|0.0029	2.0862|0.0046
MMRF_1533_1_BM_CD138pos_pair	2|0.0013	2|0.0013	3.3526|0.0074	2.7734|0.003	1.0432|0.0024	2.0317|0.0015	1.1912|0.0027	1.3984|0.002	2.6562|0.0044	2.0884|0.0037	1.0833|0.0013	1.0121|0.0019	1.8187|0.0033	1.9791|0.0017	1.9791|0.0017	3.8018|0.0059	3.0781|0.0072	2.0227|0.0014	1.9831|0.0025	2.0187|0.0026	2.0181|0.0043	2.9685|0.0038	2.0677|0.0027	1.9985|0.0015	1.9875|0.0012	2.9304|0.0018	2.8581|0.0028	1.9806|0.0021	1.9645|0.0012	2.9412|0.0027	3.5298|0.0037	2.0197|0.0011	2.0197|0.0011	1.93|0.0016	1.915|0.0021	1.0319|0.0014	2.1157|0.0055	2.8434|0.0032	2.8279|0.0026	2.7748|0.0043	2.7716|0.0025	2.0227|0.0014	1.0833|0.0013	2.0227|0.0014	1.121|0.0012	1.9785|0.0027	2.0191|0.0024	2.0191|0.0024	1.9807|0.0021	1.987|0.0012	2.0227|0.0014	2.801|0.0035	2.0884|0.0037	2.0677|0.0027
MMRF_1534_1_BM_CD138pos_pair	1.9611|0.0014	1.9789|0.0028	1.9849|0.0015	2.8991|0.0031	2.0161|0.0025	1.9931|0.0017	1.9915|0.0021	2.0163|0.0033	0.9464|0.0021	1.9949|0.0041	1.9585|0.0033	2.0437|0.0041	1.9413|0.0026	1.9913|0.0013	1.9913|0.0013	2.168|0.0088	1.9644|0.0045	1.9864|0.0014	2.0108|0.0031	2.016|0.0033	2.0428|0.0034	2.0658|0.0049	2.1258|0.007	1.9892|0.0017	2.0005|0.0019	1.9777|0.0015	1.9344|0.0023	1.9995|0.0024	2.0048|0.0023	1.9704|0.001	1.9989|0.002	2.0633|0.0036	2.0112|0.0019	1.9842|0.0012	2.0059|0.0025	2.013|0.0033	2.0128|0.0023	1.9747|0.0036	1.9714|0.002	1.9344|0.0023	2.8957|0.0027	1.975|0.0011	2.0133|0.0021	1.975|0.0011	1.983|0.0017	4.005|0.0236	1.9771|0.0017	1.9771|0.0017	1.9751|0.0023	1.9751|0.0021	3.0419|0.0141	2.9384|0.0142	1.9618|0.0024	1.9706|0.0029
MMRF_1535_1_BM_CD138pos_pair	1.9884|0.002	1.9909|0.0013	2.0103|0.0011	2.0103|0.0011	1.9924|0.0025	2.0211|0.0023	1.7318|0.0011	1.429|0.0025	1.9861|0.0015	1.9945|0.0015	1.9945|0.0015	2.0143|0.0024	1.9869|0.0021	1.9931|0.0014	1.9931|0.0014	1.8553|0.005	1.9394|0.0065	1.8398|0.002	2.7735|0.0017	1.9711|0.0028	2.0063|0.0022	2.3103|0.0024	1.0222|0.0025	2.0321|0.0015	2.029|0.0011	2.0014|0.0015	1.995|0.001	1.9947|9e-04	1.9947|9e-04	2.0215|9e-04	2.0215|9e-04	2.0216|0.0012	2.019|0.0013	1.9964|0.0011	1.9986|0.0016	2.0172|0.001	2.0172|0.001	2.0682|0.005	2.7379|0.0072	1.995|0.001	2.0103|0.0011	1.8247|0.0017	1.9945|0.0015	1.8347|0.0016	1.135|0.0013	2.9614|0.0017	2.0172|0.001	2.0172|0.001	1.9947|9e-04	2.0284|0.001	1.8347|0.0016	1.995|0.001	1.9945|0.0015	2.0103|0.0027
MMRF_1537_1_BM_CD138pos_pair	1.9843|0.001	1.9843|0.001	3.1585|0.0014	3.1585|0.0014	1.991|0.001	1.991|0.001	2|0.0012	2.9354|0.0023	3.2276|0.0018	2.0041|0.0014	2.0041|0.0014	3.2723|0.002	3.2723|0.002	1.2326|0.0023	1.9823|0.0015	3.3724|0.0026	3.3724|0.0026	2.0175|0.0015	2.0356|0.0012	2.7898|0.0028	2.8551|0.0026	2.0812|0.0021	1.9834|0.0031	2.8011|0.0015	2.7761|0.0017	3.1643|0.0016	3.1928|0.0025	2.0145|8e-04	2.0145|8e-04	3.9633|0.0021	3.9408|0.0025	3.8903|0.0037	3.1175|0.0019	3.1968|0.0021	3.1921|0.0022	1.9543|0.001	1.2112|0.0031	4.0232|0.003	4.0279|0.0021	3.1886|0.0019	3.1585|0.0014	2.0201|0.0012	2.0041|0.0014	2.0201|0.0012	2.9336|0.0019	2.0356|0.0012	1.9678|0.0251	1.9678|0.0251	2.0145|8e-04	2.786|0.0017	2.0201|0.0012	3.1886|0.0019	2.0041|0.0014	2.0161|0.0023
MMRF_1538_1_BM_CD138pos_pair	1.872|0.002	2.0235|0.0015	9.8312|0.0026	9.61|0.0021	2.1598|0.0012	2.1598|0.0012	2.5972|0.0014	2.4579|0.0024	10.0836|0.0021	1.9706|0.0016	2.0071|0.002	0.971|0.0015	0.971|0.0015	1.9738|0.0034	1.9405|0.0017	17.8187|0.0039	17.8187|0.0039	2.163|9e-04	2.163|9e-04	2.3061|0.003	2.118|0.0021	1.8966|0.0023	1.931|0.0038	1.9929|0.0014	1.9654|0.0011	10.9244|0.002	10.2832|0.0018	1.8711|9e-04	1.8711|9e-04	11.0289|0.0028	10.9683|0.0016	11.0983|0.0019	11.2569|0.0025	10.0856|0.0016	10.1225|0.0022	2.1115|0.0021	2.1134|0.0016	9.7223|0.0018	9.7223|0.0018	10.2832|0.0018	9.61|0.0021	2.163|9e-04	1.9706|0.0016	2.163|9e-04	2.4602|0.0015	2.163|9e-04	2.0313|0.0012	2.0313|0.0012	1.8711|9e-04	1.9654|0.0011	2.163|9e-04	10.2832|0.0018	1.9706|0.0016	1.9387|0.0026
MMRF_1539_1_BM_CD138pos_pair	1.9878|0.0012	2.0031|0.0017	1.9809|0.0015	3.0761|0.0022	2.0139|0.0016	2.0251|0.0018	1.9918|0.0013	2.0063|0.0018	2.0543|0.0037	1.9996|0.0024	2.042|0.002	1.9871|0.0021	2.0058|0.0031	1.9896|0.0022	1.9865|0.002	1.9875|0.0023	1.9974|0.0039	2.0093|0.0012	2.007|9e-04	2.0026|0.0016	2.0026|0.0016	2.0778|0.0047	2.0118|0.0023	2.0375|0.0025	1.9992|0.001	2.0034|0.0017	1.9768|0.0015	1.9947|0.0018	1.9947|0.001	1.9928|0.0014	2.0057|0.0015	2.0171|0.001	2.0293|0.0015	1.9877|0.0011	1.9886|0.0016	2|0.001	2|0.001	1.9771|0.002	1.9912|0.0015	1.9677|0.0017	3.0761|0.0022	2.007|9e-04	2.0435|0.002	2.007|9e-04	2.0174|0.0014	2.007|9e-04	2|0.001	2|0.001	1.9947|0.0018	1.9992|0.001	2.007|9e-04	1.9677|0.0017	1.9996|0.0024	2.0118|0.0023
MMRF_1541_1_BM_CD138pos_pair	1.999|9e-04	1.999|9e-04	3.0608|0.0026	3.096|0.002	2.0038|0.0021	2.0066|0.0016	1.099|0.0021	2.006|0.0014	2|0.0016	2.1341|0.0021	1.6545|0.0039	2.0106|0.0018	2.1076|0.0027	2.0874|0.0012	2.0874|0.0012	1.9974|0.0017	1.9974|0.0017	2.0038|0.001	2.2571|0.0011	1.997|0.0019	1.9291|0.0022	2.0061|0.0018	2.0131|0.0031	2.0065|0.0013	2.0007|8e-04	2.0004|0.0015	1.9985|0.0017	1.9988|0.0018	1.9961|0.0015	1.9977|0.0015	2.0009|9e-04	2.0085|0.0016	1.6345|0.002	1.9965|8e-04	1.9965|8e-04	2.0127|0.0031	1.9988|0.0012	1.9997|0.0016	2.0023|0.0015	1.996|0.0016	3.1052|0.0018	2.0044|0.001	1.2875|0.0017	2.0044|0.001	2.0038|0.0011	2.2571|0.0011	1.9974|0.001	1.9974|0.001	2.0039|0.0015	2.0007|8e-04	2.0044|0.001	1.996|0.0016	2.1341|0.0021	2.0114|0.0022
MMRF_1542_1_BM_CD138pos_pair	2.207|0.0013	2.207|0.0013	2.2397|0.0018	2.8284|0.003	1.9957|0.0011	1.9957|0.0011	2.2041|0.0015	2.2013|0.0016	1.9883|0.0015	2.0319|0.0026	1.3163|0.0014	2.1938|0.0022	2.4295|0.0028	2.0415|0.0015	2.0415|0.0015	2.2096|0.0027	2.2126|0.0036	2|9e-04	2|9e-04	2.2073|0.0027	2.2106|0.0026	2.2401|0.0025	2.2229|0.0026	1.9994|0.0014	2.0002|0.0011	2.2764|0.0017	2.3082|0.0017	2.1002|0.0019	2.1025|0.0015	2.4719|0.0035	2.0221|0.001	1.8245|9e-04	1.8245|9e-04	1.8949|0.0022	2.1978|0.0026	1.8619|0.0019	2.2311|0.0014	2.1748|0.0022	2.175|0.0017	2.5675|0.0031	2.9746|0.0027	2|9e-04	1.3145|0.004	2|9e-04	2.2013|0.0016	2|9e-04	2.2311|0.0014	2.2311|0.0014	2.1002|0.0019	2.0002|0.0011	2|9e-04	2.5675|0.0031	2.0319|0.0026	2.2229|0.0026
MMRF_1543_1_BM_CD138pos_pair	1.9697|9e-04	1.9697|9e-04	2.8741|0.0022	2.8534|0.0023	2|9e-04	2|9e-04	2.0577|0.0011	2.108|0.0012	3.815|0.0022	1.964|0.0014	2.1557|0.0038	1.9212|0.002	1.9023|0.0021	1.9655|0.0012	1.9655|0.0012	3.8301|0.0056	3.7844|0.0055	2.9905|0.0019	2.8711|0.0015	2.0057|0.0021	2.0084|0.0019	2.9644|0.0027	2.0435|0.002	2.9558|0.0016	2.9653|0.0013	2.9311|0.0013	2.8835|0.0016	1.9681|8e-04	1.9681|8e-04	2.9542|0.0017	3.3878|0.0026	2.9576|0.0012	2.9576|0.0012	2.8656|0.0012	2.8656|0.0012	2.0234|0.0043	2.0636|0.0041	3.8281|0.0031	3.1096|0.0021	2.8528|0.0018	2.8712|0.0021	2.991|0.0015	1.964|0.0014	2.991|0.0015	2.108|0.0012	2.8711|0.0015	1.9844|0.0019	1.9844|0.0019	1.9681|8e-04	2.9653|0.0013	2.991|0.0015	2.8528|0.0018	1.964|0.0014	2.0435|0.002
MMRF_1546_1_BM_CD138pos_pair	1.9943|8e-04	1.9943|8e-04	3.0602|0.0016	4.0107|0.0019	2.0181|0.0017	1.9933|9e-04	2.0187|9e-04	2.0106|0.0011	4.1771|0.0024	1.9707|0.0011	1.9707|0.0011	3.0939|0.0015	3.0939|0.0015	0.9189|6e-04	0.9189|6e-04	3.0706|0.0036	3.0393|0.0036	2.0062|8e-04	3.0878|0.0013	2.0013|0.0017	1.9902|0.0016	2.0249|0.0015	1.9916|0.0016	3.0887|0.0019	3.0867|0.0014	3.0872|9e-04	3.0872|9e-04	2.0062|0.0016	2.0139|9e-04	4.1499|0.0024	4.1693|0.0014	3.098|0.0015	3.0966|0.001	3.0915|0.0016	3.0762|0.0026	1.996|0.0021	2|0.0012	4.161|0.0015	4.161|0.0015	3.0872|9e-04	4.1565|0.0019	2.0006|8e-04	1.9707|0.0011	2.0006|8e-04	2.0064|0.001	3.0878|0.0013	3.0545|0.0309	3.0545|0.0309	1.9821|0.003	3.0703|0.0024	2.0006|8e-04	3.0872|9e-04	1.9707|0.0011	1.9916|0.0016
MMRF_1547_1_BM_CD138pos_pair	1.9862|0.0028	2.0231|0.0023	2.0129|0.0013	2.0129|0.0013	2.004|0.0013	2.004|0.0013	0.9669|9e-04	0.9717|0.0016	1.9748|0.002	1.7777|0.0027	1.7437|0.0021	2.0141|0.0041	2.0636|0.0056	2.0069|0.0017	2.0069|0.0017	2.0533|0.0029	2.0616|0.0041	2.1223|0.0042	1.9978|0.0015	0.9775|0.0017	0.9958|0.0016	1.9869|0.0026	2.0139|0.0052	1.9962|0.0017	1.9955|0.0012	1.9994|0.0013	1.9936|0.0011	1.8453|0.001	1.8453|0.001	1.9939|0.0025	1.9984|0.0013	2|0.0012	2|0.0012	1.994|0.0012	1.994|0.0012	1.3261|0.0017	1.3283|0.0016	2.2628|0.0026	2.0027|0.0018	1.9936|0.0011	2.0129|0.0013	2.0053|0.0015	1.7437|0.0021	2.0053|0.0015	0.9719|0.0031	1.9978|0.0015	1.3169|0.0025	1.3169|0.0025	1.8453|0.001	1.9955|0.0012	2.0053|0.0015	1.9936|0.0011	1.7777|0.0027	2.0269|0.0063
