matchID	player1	player2	win1	win2	total_matches_performed
1	amp_chr_1p	amp_chr_1q_MCL1	5	52	17
2	amp_chr_1p	amp_chr_2p	1	24	9
3	amp_chr_1p	amp_chr_2q	5	15	7
4	amp_chr_1p	amp_chr_3p	0	0	0
5	amp_chr_1p	amp_chr_3q_TERC	0	7	2
6	amp_chr_1p	amp_chr_4p	7	20	8
7	amp_chr_1p	amp_chr_4q	6	17	7
8	amp_chr_1p	amp_chr_5p	0	0	0
9	amp_chr_1p	amp_chr_5q	0	0	0
10	amp_chr_1p	amp_chr_6p	0	39	11
11	amp_chr_1p	amp_chr_6q	2	23	8
12	amp_chr_1p	amp_chr_7p	0	0	0
13	amp_chr_1p	amp_chr_7q	0	0	0
14	amp_chr_1p	amp_chr_8p	1	7	4
15	amp_chr_1p	amp_chr_8q_MYC_amp	0	23	8
16	amp_chr_1p	amp_chr_9p	0	1	1
17	amp_chr_1p	amp_chr_9q	0	2	1
18	amp_chr_1p	amp_chr_10p	0	4	2
19	amp_chr_1p	amp_chr_10q	0	7	3
20	amp_chr_1p	amp_chr_11p	0	2	1
21	amp_chr_1p	amp_chr_11q	0	0	0
22	amp_chr_1p	amp_chr_12p	0	4	1
23	amp_chr_1p	amp_chr_12q	0	4	1
24	amp_chr_1p	amp_chr_13q	15	0	5
25	amp_chr_1p	amp_chr_14q	20	6	9
26	amp_chr_1p	amp_chr_15q	0	2	1
27	amp_chr_1p	amp_chr_16p_BCMA	1	7	3
28	amp_chr_1p	amp_chr_16q	9	0	4
29	amp_chr_1p	amp_chr_17p	0	8	3
30	amp_chr_1p	amp_chr_17q	3	16	7
31	amp_chr_1p	amp_chr_18p	0	24	7
32	amp_chr_1p	amp_chr_18q	0	31	10
33	amp_chr_1p	amp_chr_19p	0	7	2
34	amp_chr_1p	amp_chr_19q	0	3	1
35	amp_chr_1p	amp_chr_20p	0	4	1
36	amp_chr_1p	amp_chr_20q	0	7	3
37	amp_chr_1p	amp_chr_21q	0	0	0
38	amp_chr_1p	amp_chr_22q	9	2	5
39	amp_chr_1p	del_chr_1q	0	0	0
40	amp_chr_1p	del_chr_2p	0	0	0
41	amp_chr_1p	del_chr_2q_SP140	0	0	0
42	amp_chr_1p	del_chr_3p	0	0	0
43	amp_chr_1p	del_chr_3q_BCL6	0	5	1
44	amp_chr_1p	del_chr_4p_NSD2	0	7	2
45	amp_chr_1p	del_chr_4q	0	5	2
46	amp_chr_1p	del_chr_5p	0	0	0
47	amp_chr_1p	del_chr_5q	0	0	0
48	amp_chr_1p	del_chr_6p	0	0	0
49	amp_chr_1p	del_chr_6q	1	10	4
50	amp_chr_1p	del_chr_7p	0	1	1
51	amp_chr_1p	del_chr_7q	0	0	0
52	amp_chr_1p	del_chr_8p	1	24	11
53	amp_chr_1p	del_chr_8q_MYC_del	0	3	1
54	amp_chr_1p	del_chr_9p	0	0	0
55	amp_chr_1p	del_chr_9q	0	0	0
56	amp_chr_1p	del_chr_10p	0	3	1
57	amp_chr_1p	del_chr_10q	0	0	0
58	amp_chr_1p	del_chr_11p	3	0	1
59	amp_chr_1p	del_chr_11q_BIRC2	3	0	1
60	amp_chr_1p	del_chr_12p	1	3	2
61	amp_chr_1p	del_chr_12q	1	0	1
62	amp_chr_1p	del_chr_13q	11	45	17
63	amp_chr_1p	del_chr_14q_MAX	0	18	5
64	amp_chr_1p	del_chr_15q	0	0	0
65	amp_chr_1p	del_chr_16p	10	6	5
66	amp_chr_1p	del_chr_16q_CYLD	2	25	9
67	amp_chr_1p	del_chr_17p	21	5	8
68	amp_chr_1p	del_chr_17q	18	5	7
69	amp_chr_1p	del_chr_18p	0	1	1
70	amp_chr_1p	del_chr_18q	0	0	0
71	amp_chr_1p	del_chr_19p	0	0	0
72	amp_chr_1p	del_chr_19q	0	0	0
73	amp_chr_1p	del_chr_20p	1	8	4
74	amp_chr_1p	del_chr_20q	0	14	3
75	amp_chr_1p	del_chr_21q	0	3	2
76	amp_chr_1p	del_chr_22q_XBP1	7	9	5
77	amp_chr_1p	HyperDiploidy	0	59	17
78	amp_chr_1q_MCL1	amp_chr_2p	51	19	24
79	amp_chr_1q_MCL1	amp_chr_2q	32	19	15
80	amp_chr_1q_MCL1	amp_chr_3p	9	6	5
81	amp_chr_1q_MCL1	amp_chr_3q_TERC	11	5	8
82	amp_chr_1q_MCL1	amp_chr_4p	29	12	15
83	amp_chr_1q_MCL1	amp_chr_4q	34	11	17
84	amp_chr_1q_MCL1	amp_chr_5p	19	0	5
85	amp_chr_1q_MCL1	amp_chr_5q	9	0	2
86	amp_chr_1q_MCL1	amp_chr_6p	79	65	50
87	amp_chr_1q_MCL1	amp_chr_6q	84	48	43
88	amp_chr_1q_MCL1	amp_chr_7p	1	0	1
89	amp_chr_1q_MCL1	amp_chr_7q	9	1	3
90	amp_chr_1q_MCL1	amp_chr_8p	37	6	13
91	amp_chr_1q_MCL1	amp_chr_8q_MYC_amp	68	35	38
92	amp_chr_1q_MCL1	amp_chr_9p	28	1	9
93	amp_chr_1q_MCL1	amp_chr_9q	38	6	17
94	amp_chr_1q_MCL1	amp_chr_10p	19	7	8
95	amp_chr_1q_MCL1	amp_chr_10q	19	10	11
96	amp_chr_1q_MCL1	amp_chr_11p	5	4	4
97	amp_chr_1q_MCL1	amp_chr_11q	10	9	7
98	amp_chr_1q_MCL1	amp_chr_12p	39	0	9
99	amp_chr_1q_MCL1	amp_chr_12q	60	0	15
100	amp_chr_1q_MCL1	amp_chr_13q	48	0	12
101	amp_chr_1q_MCL1	amp_chr_14q	164	0	39
102	amp_chr_1q_MCL1	amp_chr_15q	42	3	15
103	amp_chr_1q_MCL1	amp_chr_16p_BCMA	34	1	15
104	amp_chr_1q_MCL1	amp_chr_16q	58	0	16
105	amp_chr_1q_MCL1	amp_chr_17p	22	25	19
106	amp_chr_1q_MCL1	amp_chr_17q	42	28	25
107	amp_chr_1q_MCL1	amp_chr_18p	33	39	24
108	amp_chr_1q_MCL1	amp_chr_18q	35	40	28
109	amp_chr_1q_MCL1	amp_chr_19p	29	4	10
110	amp_chr_1q_MCL1	amp_chr_19q	0	0	0
111	amp_chr_1q_MCL1	amp_chr_20p	100	0	26
112	amp_chr_1q_MCL1	amp_chr_20q	78	7	23
113	amp_chr_1q_MCL1	amp_chr_21q	20	1	7
114	amp_chr_1q_MCL1	amp_chr_22q	135	2	36
115	amp_chr_1q_MCL1	del_chr_1p_CDKN2C	45	4	19
116	amp_chr_1q_MCL1	del_chr_1p_EVI5	47	29	35
117	amp_chr_1q_MCL1	del_chr_1p_TENT5C	59	22	35
118	amp_chr_1q_MCL1	del_chr_2p	15	4	5
119	amp_chr_1q_MCL1	del_chr_2q_SP140	24	0	7
120	amp_chr_1q_MCL1	del_chr_3p	12	0	4
121	amp_chr_1q_MCL1	del_chr_3q_BCL6	34	0	8
122	amp_chr_1q_MCL1	del_chr_4p_NSD2	61	4	21
123	amp_chr_1q_MCL1	del_chr_4q	35	4	16
124	amp_chr_1q_MCL1	del_chr_5p	6	0	2
125	amp_chr_1q_MCL1	del_chr_5q	22	1	7
126	amp_chr_1q_MCL1	del_chr_6p	15	3	5
127	amp_chr_1q_MCL1	del_chr_6q	55	22	32
128	amp_chr_1q_MCL1	del_chr_7p	53	2	15
129	amp_chr_1q_MCL1	del_chr_7q	29	0	7
130	amp_chr_1q_MCL1	del_chr_8p	124	33	63
131	amp_chr_1q_MCL1	del_chr_8q_MYC_del	4	5	5
132	amp_chr_1q_MCL1	del_chr_9p	30	5	9
133	amp_chr_1q_MCL1	del_chr_9q	64	1	17
134	amp_chr_1q_MCL1	del_chr_10p	50	1	17
135	amp_chr_1q_MCL1	del_chr_10q	44	4	16
136	amp_chr_1q_MCL1	del_chr_11p	34	10	13
137	amp_chr_1q_MCL1	del_chr_11q_BIRC2	29	1	9
138	amp_chr_1q_MCL1	del_chr_12p	51	18	26
139	amp_chr_1q_MCL1	del_chr_12q	28	10	15
140	amp_chr_1q_MCL1	del_chr_13q	88	111	82
141	amp_chr_1q_MCL1	del_chr_14q_MAX	47	33	35
142	amp_chr_1q_MCL1	del_chr_15q	17	2	6
143	amp_chr_1q_MCL1	del_chr_16p	115	19	37
144	amp_chr_1q_MCL1	del_chr_16q_CYLD	66	48	42
145	amp_chr_1q_MCL1	del_chr_17p	188	14	56
146	amp_chr_1q_MCL1	del_chr_17q	204	0	52
147	amp_chr_1q_MCL1	del_chr_18p	24	5	8
148	amp_chr_1q_MCL1	del_chr_18q	19	0	5
149	amp_chr_1q_MCL1	del_chr_19p	111	0	26
150	amp_chr_1q_MCL1	del_chr_19q	136	3	32
151	amp_chr_1q_MCL1	del_chr_20p	45	12	23
152	amp_chr_1q_MCL1	del_chr_20q	54	10	20
153	amp_chr_1q_MCL1	del_chr_21q	20	2	6
154	amp_chr_1q_MCL1	del_chr_22q_XBP1	73	30	34
155	amp_chr_1q_MCL1	HyperDiploidy	45	108	56
156	amp_chr_2p	amp_chr_2q	13	7	8
157	amp_chr_2p	amp_chr_3p	0	2	1
158	amp_chr_2p	amp_chr_3q_TERC	0	0	0
159	amp_chr_2p	amp_chr_4p	15	5	6
160	amp_chr_2p	amp_chr_4q	13	0	5
161	amp_chr_2p	amp_chr_5p	0	5	1
162	amp_chr_2p	amp_chr_5q	0	0	0
163	amp_chr_2p	amp_chr_6p	3	29	13
164	amp_chr_2p	amp_chr_6q	10	9	11
165	amp_chr_2p	amp_chr_7p	0	0	0
166	amp_chr_2p	amp_chr_7q	0	5	1
167	amp_chr_2p	amp_chr_8p	4	1	2
168	amp_chr_2p	amp_chr_8q_MYC_amp	11	36	18
169	amp_chr_2p	amp_chr_9p	0	0	0
170	amp_chr_2p	amp_chr_9q	0	2	1
171	amp_chr_2p	amp_chr_10p	6	14	6
172	amp_chr_2p	amp_chr_10q	18	14	10
173	amp_chr_2p	amp_chr_11p	0	1	1
174	amp_chr_2p	amp_chr_11q	1	4	2
175	amp_chr_2p	amp_chr_12p	2	1	2
176	amp_chr_2p	amp_chr_12q	7	1	3
177	amp_chr_2p	amp_chr_13q	47	0	11
178	amp_chr_2p	amp_chr_14q	83	6	23
179	amp_chr_2p	amp_chr_15q	5	0	3
180	amp_chr_2p	amp_chr_16p_BCMA	6	1	3
181	amp_chr_2p	amp_chr_16q	24	0	7
182	amp_chr_2p	amp_chr_17p	10	2	7
183	amp_chr_2p	amp_chr_17q	20	6	11
184	amp_chr_2p	amp_chr_18p	3	24	9
185	amp_chr_2p	amp_chr_18q	0	25	9
186	amp_chr_2p	amp_chr_19p	0	0	0
187	amp_chr_2p	amp_chr_19q	0	0	0
188	amp_chr_2p	amp_chr_20p	8	1	4
189	amp_chr_2p	amp_chr_20q	17	2	8
190	amp_chr_2p	amp_chr_21q	1	0	1
191	amp_chr_2p	amp_chr_22q	44	1	13
192	amp_chr_2p	del_chr_1p_CDKN2C	2	16	5
193	amp_chr_2p	del_chr_1p_EVI5	5	24	9
194	amp_chr_2p	del_chr_1p_TENT5C	2	21	7
195	amp_chr_2p	del_chr_1q	1	6	3
196	amp_chr_2p	del_chr_2q_SP140	0	3	1
197	amp_chr_2p	del_chr_3p	3	3	2
198	amp_chr_2p	del_chr_3q_BCL6	11	0	4
199	amp_chr_2p	del_chr_4p_NSD2	11	20	9
200	amp_chr_2p	del_chr_4q	11	17	7
