sample	KRAS	NRAS	IGLL5	TENT5C	DIS3	TRAF3	BRAF	DUSP2	TP53	FGFR3	ATM	DNAH5	EGR1	HIST1H1E	CYLD	MAX
MMRF_1261_1_BM_CD138pos	0.907|0.609|1	0	0	0	0	1|1|1	0	0	0	0	0	0	0	0	0	0
MMRF_1266_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1267_1_BM_CD138pos	0.863|0.681|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1269_1_BM_CD138pos	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1274_1_BM_CD138pos	0	0	0	0	0	0	0	0.884|0.605|1	0	0	0	0	0	0	0	0
MMRF_1277_1_BM_CD138pos	1|1|1	0.121|0.083|0.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1284_1_BM_CD138pos	1|0.91|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1285_1_BM_CD138pos	0	0	0	0	0	0.083|0.03|0.221	0	0	0	0	0	0	0	0	0	0
MMRF_1290_1_BM_CD138pos	0	0.888|0.801|0.977	0	0	0	0	0	0	0	0	0.883|0.684|1	1|0.839|1	0	0	0	0
MMRF_1293_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0.979|0.744|1	0	0
MMRF_1300_1_BM_CD138pos	0	0	0	0	1|1|1	0	0	0	0	0.615|0.397|0.91	0	0	0	0	0	0
MMRF_1304_1_BM_CD138pos	0	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1307_1_BM_CD138pos	0	0	0	1|0.84|1	0.201|0.09|0.407	0	0	0	0	0	0	0	0	0	0	0
MMRF_1308_1_BM_CD138pos	0	0.239|0.137|0.401	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1309_1_BM_CD138pos	0	0.228|0.174|0.297	1|0.78|1	0	0	0	0	0	0	0	0	0.274|0.182|0.408	0	0	0	0
MMRF_1311_1_BM_CD138pos	0	0	0	0	0	0	0.722|0.449|1	0	0	0	0.952|0.703|1	0	0	0	0	0
MMRF_1312_1_BM_CD138pos	0.271|0.111|0.622	0.434|0.275|0.658	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178|0.089|0.337
MMRF_1318_1_BM_CD138pos	0.948|0.814|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1320_1_BM_CD138pos	0.584|0.46|0.729	0	1|0.572|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1323_1_BM_CD138pos	0	0	1|0.802|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1324_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1327_1_BM_CD138pos	0	0	0	0	0	1|0.921|1	0	0	0	0	0	0	0	0	0	0
MMRF_1328_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1331_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	1|1|1	0	0	0
MMRF_1332_1_BM_CD138pos	0	0	0.749|0.552|0.97	0	0	0	0	0	0	0	0	0	0	0.96|0.839|1	0	0
MMRF_1338_1_BM_CD138pos	0	0	0	0.68|0.454|0.95	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1342_1_BM_CD138pos	0	0	0	0	0	0	0	0	0.898|0.686|0.971	0	0	0	0	0	0	0
MMRF_1344_1_BM_CD138pos	0	0	1|0.961|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1349_1_BM_CD138pos	0	0	0	0	1|0.975|1	0	0	0	0	1|0.843|1	0	0	0	0	0	0
MMRF_1352_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1356_1_BM_CD138pos	0.982|0.711|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1|0.973|1
MMRF_1358_1_BM_CD138pos	0.132|0.054|0.319	0.907|0.735|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1359_1_BM_CD138pos	0.835|0.68|1	0	0.878|0.405|1	0	0	0	0	0	0	0	0	1|0.911|1	0	0	0	1|0.957|1
MMRF_1361_1_BM_CD138pos	1|0.809|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1365_1_BM_CD138pos	1|0.787|1	0	0	0	0	0	0	0	0	0	0	0	1|0.816|1	0	0	0
MMRF_1371_1_BM_CD138pos	0	0.933|0.773|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1377_1_BM_CD138pos	0	0	0	0.167|0.112|0.244	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1380_1_BM_CD138pos	0	0	0	0	0	0	0	0.928|0.757|1	0	0	0	0	0	0	0	0
MMRF_1388_1_BM_CD138pos	0	0	0	0	0	0.961|0.649|1	0	0	0	0	0	0	0	0	0	0
MMRF_1389_1_BM_CD138pos	0	0	0.492|0.31|0.736	0	1|0.873|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1391_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0.193|0.091|0.39	0	0	0	0	0	0
MMRF_1392_1_BM_CD138pos	0	0	1|0.868|1	0	0	0	0	0	0	0	0	0	0	1|0.787|1	0	0
MMRF_1393_1_BM_CD138pos	1|0.905|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1395_1_BM_CD138pos	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1401_1_BM_CD138pos	0	1|0.932|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1403_1_BM_CD138pos	0	0	0.452|0.357|0.556	0	0	0	0	0	0	0	1|0.934|1	0	0	0	0	0
MMRF_1408_1_BM_CD138pos	0	0	0	0.125|0.051|0.302	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1413_1_BM_CD138pos	0	0	0	0	0	0.202|0.13|0.276	0	0	0	0	0	0	0	0	0	0
MMRF_1423_1_BM_CD138pos	0	1|0.996|1	0.389|0.264|0.56	0	0	0	0	0	0	0	0	0	0	1|1|1	0	0
MMRF_1424_1_BM_CD138pos	0	0	1|0.575|1	0	0	0	0	0	1|0.896|1	0	0	0.666|0.419|0.976	0	0	0	0
MMRF_1425_1_BM_CD138pos	0.63|0.506|0.772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1426_1_BM_CD138pos	0.974|0.848|1	0	0	0	0	0	0	1|0.68|1	0	0	0	0	0	0	1|0.785|1	0
MMRF_1432_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	1|0.743|1	0	0	0	0
MMRF_1433_1_BM_CD138pos	0	0	0	0	1|0.948|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1434_1_BM_CD138pos	1|0.886|1	0	0	0	0	0	0	0.793|0.582|1	0	0	0	0	0	0	0	0
MMRF_1436_1_BM_CD138pos	0	0.987|0.814|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1439_1_BM_CD138pos	0	0	1|0.977|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1445_1_BM_CD138pos	0	0	0.163|0.106|0.246	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1446_1_BM_CD138pos	0	0	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1447_1_BM_CD138pos	0	0.323|0.186|0.535	0	0	0	0	0	1|0.862|1	0	0	0	0.691|0.448|1	0	0	0	0
MMRF_1450_1_BM_CD138pos	0	0	1|0.827|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1451_1_BM_CD138pos	0.743|0.47|1	0	0	0.078|0.032|0.184	0	0.055|0.027|0.109	0	0	0	0	0	0	0	0	0	0
MMRF_1453_1_BM_CD138pos	0	0	0	0	0	0	0	0	0.119|0.072|0.193	0	0	0	0	0	0	0
MMRF_1454_1_BM_CD138pos	0	0	0	0	0	0	0	0.96|0.84|1	0	0.115|0.051|0.256	0	0	0	0	0	0
MMRF_1460_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1461_1_BM_CD138pos	0	0	0	0	0.915|0.822|0.977	0	0	0	0	0	0	0.975|0.84|1	0	0	0	0
MMRF_1462_1_BM_CD138pos	0.595|0.37|0.895	0	0.905|0.566|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1466_1_BM_CD138pos	0.851|0.681|1	0	0	0	0	0	0	0	0	0	0	0	0	1|1|1	0	0
MMRF_1478_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1485_1_BM_CD138pos	0.331|0.233|0.462	0	0	0	0	0	0	0	0	0	0	1|0.695|1	0	0	0	0
MMRF_1489_1_BM_CD138pos	0	0	1|0.677|1	0.213|0.125|0.357	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1491_1_BM_CD138pos	0	0	1|0.969|1	0	0	0	0	0	1|1|1	0	0	0	0	0	0	0
MMRF_1497_1_BM_CD138pos	0	0	0	0	0	0.247|0.111|0.485	1|0.623|1	0	0	0	0	0	0	0	0	0
MMRF_1501_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0.176|0.1|0.307	0	0	0	0
MMRF_1502_1_BM_CD138pos	0.817|0.678|0.972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1505_1_BM_CD138pos	0.971|0.837|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1506_1_BM_CD138pos	0.731|0.591|0.883	0	0	0	0	1|0.956|1	0	0	0	0	0	0	0	0	0	0
MMRF_1510_1_BM_CD138pos	0	0	1|1|1	0	1|0.943|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1511_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	1|0.826|1	0	0
