sample	KRAS	NRAS	IGLL5	TENT5C	DIS3	TRAF3	BRAF	DUSP2	TP53	FGFR3	ATM	DNAH5	EGR1	HIST1H1E	CYLD	MAX
MMRF_1725_1_BM_CD138pos	0	0	0	0	0	0.127|0.078|0.171	0	0	0	0	0	0	0	0	0	0
MMRF_1726_1_BM_CD138pos	0.516|0.326|0.771	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299|0.109|0.627	0
MMRF_1727_1_BM_CD138pos	0	0	0	0	0.137|0.076|0.243	0	0	0	0	0	0	0	0	0	0	0
MMRF_1730_1_BM_CD138pos	0	1|0.952|1	1|0.893|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1735_1_BM_CD138pos	0	1|0.993|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1736_1_BM_CD138pos	0	0.842|0.663|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1738_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1739_1_BM_CD138pos	0	0.927|0.762|1	0	0.245|0.192|0.311	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1740_1_BM_CD138pos	0	0.995|0.747|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1750_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1755_1_BM_CD138pos	0	0	0	0	0	0	0	0	1|0.893|1	0	0	0	0	0	0	0
MMRF_1758_1_BM_CD138pos	0	0	0	0.139|0.079|0.234	0	0	0	0.637|0.528|0.758	0	0	0	0	0	0	0	0
MMRF_1759_1_BM_CD138pos	0	0.933|0.748|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1760_1_BM_CD138pos	0.284|0.17|0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1763_1_BM_CD138pos	0.977|0.809|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1766_1_BM_CD138pos	0	0.972|0.853|1	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1768_1_BM_CD138pos	0	0	0	0.864|0.636|1	0	0	0	0	0	0	0	0	0	0	0.274|0.139|0.489	0
MMRF_1771_1_BM_CD138pos	0	1|0.989|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1773_1_BM_CD138pos	0.834|0.706|0.967	0	0.822|0.542|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1774_1_BM_CD138pos	0	0	0	0	0	0	0	0	1|1|1	0	0	0.369|0.165|0.754	0	0	0	0
MMRF_1775_1_BM_CD138pos	1|0.86|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1777_1_BM_CD138pos	0	0.352|0.183|0.647	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1778_1_BM_CD138pos	0	0	0	0	0	0.991|0.871|1	0	0	0	0	0	0	0	0	0	0
MMRF_1780_1_BM_CD138pos	0	0.977|0.788|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.955|0.879|1
MMRF_1781_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1782_1_BM_CD138pos	0	0.922|0.744|1	0	0	0.25|0.127|0.447	0	0	0	0	0	0	0.127|0.072|0.221	0	0	0	0.303|0.154|0.53
MMRF_1783_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1784_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1785_1_BM_CD138pos	0	0	0	0	0.996|0.828|1	1|0.917|1	0	0.94|0.496|1	0	0.818|0.682|0.962	0	0	0	0	0	0
MMRF_1786_1_BM_CD138pos	0.325|0.247|0.423	0.611|0.456|0.793	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1787_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1790_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1792_1_BM_CD138pos	0.828|0.683|0.983	0	0.236|0.167|0.324	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1793_1_BM_CD138pos	1|0.785|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1794_1_BM_CD138pos	0	0	0	0	0.959|0.787|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1796_1_BM_CD138pos	0	0	0	0	0	1|1|1	0	0	0	0	0.893|0.734|1	0.783|0.602|0.981	0.792|0.569|1	0	0	0
MMRF_1797_1_BM_CD138pos	0	0	0	0	0.8|0.602|1	0	0	0	0	0	0	0	0	0.955|0.721|1	0	0
MMRF_1801_1_BM_CD138pos	0	0	0	0.538|0.414|0.684	0	0	0.264|0.132|0.498	0	0	0	0.725|0.561|0.907	0	0.953|0.754|1	0	0	1|0.843|1
MMRF_1802_1_BM_CD138pos	0	0.974|0.767|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1803_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0.683|0.548|0.841	0	0	0	0	0
MMRF_1810_1_BM_CD138pos	0	0	0	0	0	0.97|0.828|1	0	0	0	0	0	0	0	0	0	0
MMRF_1814_1_BM_CD138pos	0	0	1|1|1	0	0	0	0	0	0.137|0.061|0.304	0	0	0	0	0	0	0
MMRF_1815_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	1|0.963|1	0	0	0	0	0	0
MMRF_1816_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	1|1|1	0	0
MMRF_1817_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1820_1_BM_CD138pos	0	0.767|0.551|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1822_1_BM_CD138pos	0.266|0.144|0.469	0	0	0	1|0.984|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1823_1_BM_CD138pos	0.969|0.829|1	0	0	1|0.894|1	0	0.408|0.265|0.583	0	0	0	0	0	0	0	0	0	1|0.983|1
MMRF_1824_1_BM_CD138pos	0.342|0.152|0.713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1825_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1830_1_BM_CD138pos	0.82|0.68|0.968	0	1|0.654|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1831_1_BM_CD138pos	0	0	0.969|0.709|1	0	0	0	0	0	1|0.965|1	0	0	0	0	0	0.497|0.207|0.89	0
MMRF_1832_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	1|0.886|1	0	0	0
MMRF_1833_1_BM_CD138pos	0.442|0.224|0.787	0	0	0	0.744|0.554|0.957	0.589|0.395|0.832	0	0	0	0	0	0	0	0	0	0
MMRF_1834_1_BM_CD138pos	1|0.818|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1835_1_BM_CD138pos	0	0.312|0.204|0.465	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1837_1_BM_CD138pos	0	1|0.889|1	0	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1838_1_BM_CD138pos	0	0.772|0.601|0.963	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1839_1_BM_CD138pos	0	0	0	0	0	0	0	0	0.705|0.544|0.883	0	0	0	0	1|1|1	0	0
MMRF_1841_1_BM_CD138pos	0	0	0	0	0	0	0	0	1|0.954|1	0	0	0	0	0	0	0
MMRF_1842_1_BM_CD138pos	0.746|0.48|1	0	1|0.702|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1845_1_BM_CD138pos	0	0	0	0	0	0	0.179|0.079|0.386	0	0	0	0	0	0	0	0	0
MMRF_1846_1_BM_CD138pos	0	0	1|0.774|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1850_1_BM_CD138pos	0	0.969|0.846|1	0	1|0.989|1	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1851_1_BM_CD138pos	0	0	0	0	1|0.941|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1855_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1856_1_BM_CD138pos	0.859|0.632|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1858_1_BM_CD138pos	0	1|0.983|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1859_1_BM_CD138pos	0	0	0	0.486|0.364|0.622	0	0	0	0	0	0	0	0	0	0	1|0.886|1	0
MMRF_1860_1_BM_CD138pos	0.778|0.645|0.923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1861_1_BM_CD138pos	0	0.586|0.353|0.929	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1862_1_BM_CD138pos	0	0	0.369|0.294|0.452	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1865_1_BM_CD138pos	0	0.761|0.664|0.866	0	0	0	0	0	0	0	0	0	0	0	0	0.872|0.681|1	0
MMRF_1867_1_BM_CD138pos	0	1|0.793|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1871_1_BM_CD138pos	0	0.918|0.817|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1876_1_BM_CD138pos	0.222|0.141|0.344	0	0	0.783|0.642|0.94	0.282|0.184|0.415	0	0	0	0	0	0	0	0	0	0	0
MMRF_1879_1_BM_CD138pos	0	0	0	0	0	0	0	1|0.998|1	0	0	0	0	0	0	0	0
MMRF_1881_1_BM_CD138pos	0	0.783|0.671|0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1882_1_BM_CD138pos	0	0	1|0.886|1	0	0	0	0	0.974|0.819|1	0	0	0	0	0	0	0	0
MMRF_1886_1_BM_CD138pos	1|0.773|1	0	0	0	0	0	0	0	0	0	0	0	0	1|0.824|1	0	0
MMRF_1888_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1890_1_BM_CD138pos	0	0	0	0	0	0	0	0	0.273|0.167|0.432	0.194|0.101|0.367	0	0	0	0	0	0
MMRF_1891_1_BM_CD138pos	0	0	0	0.111|0.058|0.212	0	0.232|0.141|0.358	0	0	0	0	0	0	0	0	0	0
MMRF_1895_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1900_1_BM_CD138pos	0.214|0.087|0.503	0	0.302|0.214|0.414	0	0	0	0	0	0.163|0.067|0.388	0	0	0	0	0.708|0.496|0.97	0	0
MMRF_1908_1_BM_CD138pos	0	0.533|0.405|0.682	0	0	0	0.666|0.415|0.886	0	0	0	0	0	0	0	0	0	0
MMRF_1911_1_BM_CD138pos	0	0.475|0.407|0.551	0	0	0	0.078|0.043|0.138	0.446|0.265|0.704	0	0	0	0	0	0	0	0	0
MMRF_1915_1_BM_CD138pos	0	0	0	0	0	0	0.399|0.191|0.751	0	0.27|0.156|0.445	0	0	0	0	0	0	0
MMRF_1916_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1917_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1918_1_BM_CD138pos	0	0	0	0	0	0	0.856|0.599|1	0	0	0	0	0	0	0.88|0.666|1	0	0
MMRF_1921_1_BM_CD138pos	0	0	0	0	0	0	0.696|0.403|1	0	0	0	0	0	0	0	0	0
MMRF_1922_1_BM_CD138pos	0	0.997|0.873|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1928_1_BM_CD138pos	0	0	1|0.84|1	0.139|0.075|0.255	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1929_1_BM_CD138pos	0.179|0.132|0.241	0	0	0	0.252|0.183|0.339	0	0	0	0.614|0.452|0.807	0	0.303|0.194|0.46	0	0	0	0	1|1|1
MMRF_1931_1_BM_CD138pos	0	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1932_1_BM_CD138pos	1|0.922|1	0	0	0.202|0.106|0.358	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1940_1_BM_CD138pos	0.553|0.35|0.845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1955_1_BM_CD138pos	0.153|0.089|0.258	0.349|0.272|0.443	0	0	0	0	0	0	0	0	0	0	0	0	0	1|0.886|1
MMRF_1957_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0.313|0.139|0.659	0	0	0	0	0
MMRF_1960_1_BM_CD138pos	0	0	0	0	0	0	0	0.808|0.513|1	0	0	0	0	0	0	0	0
MMRF_1963_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.948|0.819|1
MMRF_1965_1_BM_CD138pos	0.43|0.343|0.532	0	0	0	0	0	0	0	0	0	1|1|1	0	0	0	0	0
MMRF_1967_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0.162|0.098|0.263	0	0	0	0
MMRF_1970_1_BM_CD138pos	0	0	0	0	0	0	1|0.708|1	0	0	0	0	0	0	0	0	0
MMRF_1971_1_BM_CD138pos	0	0	0	0.67|0.48|0.907	0	0	0.973|0.578|1	0	0	0	0.145|0.072|0.287	0	0	0	0	0
MMRF_1972_1_BM_CD138pos	0.76|0.621|0.913	0	0	0	0	0	0	0	0	0	0.808|0.64|1	0	0	0	0	0
MMRF_1977_1_BM_CD138pos	0	0	0	0.151|0.092|0.24	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1978_1_BM_CD138pos	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1981_1_BM_CD138pos	0	0	0	0	0	0	0	0	0.751|0.544|0.953	0	0	0	0	0	0	0
MMRF_1982_1_BM_CD138pos	0.737|0.504|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1985_1_BM_CD138pos	0	1|0.906|1	0	0	0	0	0	0	0	0	0	0	0	1|1|1	0	0
MMRF_1986_1_BM_CD138pos	0	0	0	0	1|0.864|1	0	0.956|0.643|1	0	0	0	0	0.891|0.649|1	0	0	0	0
MMRF_1988_1_BM_CD138pos	0	0.579|0.46|0.722	0	0	0	0	0	0	0	0	0	0	0	0.736|0.515|1	0.923|0.736|1	0
MMRF_1991_1_BM_CD138pos	0	0	0	0	0	0	0.959|0.627|1	0	0.209|0.131|0.327	0	0	0	0	0	0	0
MMRF_1994_1_BM_CD138pos	0	0.737|0.651|0.827	0	0	1|0.998|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1995_1_BM_CD138pos	0	0.705|0.469|1	0	0	0	0	0	1|0.964|1	0	0	0	0	0	0	0	0
MMRF_1997_1_BM_CD138pos	0.274|0.143|0.508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1998_1_BM_CD138pos	0	1|0.944|1	0.975|0.682|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1999_1_BM_CD138pos	0.135|0.078|0.229	0	0	0	0	1|0.995|1	0	0	0	0	0	0	0	0	0	0
MMRF_2000_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2001_1_BM_CD138pos	0	0	0	0	0	0	0	1|0.784|1	0	0	0	0	0	0	0	0
MMRF_2002_1_BM_CD138pos	0	0	0	0	0	0.404|0.238|0.618	0	0	0	0	0	0	0	0	0	0
MMRF_2005_1_BM_CD138pos	0	0	0	0	0.308|0.213|0.434	0	0.868|0.619|1	0	0	0	0	0	0	0	0	0
MMRF_2006_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0.14|0.073|0.266	0	0	0	0	0	0
MMRF_2007_1_BM_CD138pos	0	0.67|0.483|0.888	0	0	1|0.878|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_2012_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0.94|0.766|1	0	0	0	1|0.986|1
MMRF_2014_1_BM_CD138pos	0	0	0	0	0.741|0.537|0.896	0	0.822|0.532|1	1|0.871|1	0	0	0	0	0	0	0	0
MMRF_2015_1_BM_CD138pos	0	0	0	0	0	0	0	0	1|0.963|1	0	0	0	0	0	0	0
MMRF_2017_1_BM_CD138pos	0	0.776|0.578|1	0	0	1|0.869|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_2018_1_BM_CD138pos	0	0	1|0.799|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2024_1_BM_CD138pos	0	0.973|0.808|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2026_1_BM_CD138pos	0	0	0	0	0	0	1|1|1	0	0	0	0	0	0	0	0	0
MMRF_2039_1_BM_CD138pos	0	0	0.842|0.437|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2041_1_BM_CD138pos	0	0	0	0	0	0.847|0.574|1	0	0	0	0	0	0	0	0	0	0
MMRF_2043_1_BM_CD138pos	0	0	0	0.169|0.094|0.299	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2047_1_BM_CD138pos	1|0.954|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2050_1_BM_CD138pos	0	0.798|0.679|0.927	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2054_1_BM_CD138pos	1|0.823|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2055_1_BM_CD138pos	0	1|0.946|1	0	0	0	0	1|0.861|1	0	0	0	0	0	0	0	0	0
MMRF_2056_1_BM_CD138pos	0	1|0.868|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2058_1_BM_CD138pos	0	0	0	0	0	0.26|0.145|0.452	0	0	0	0	0	0	0	0	0	0
MMRF_2059_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2061_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2062_1_BM_CD138pos	0.82|0.71|0.936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2074_1_BM_CD138pos	0	0.733|0.574|0.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2076_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2079_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0.63|0.511|0.77	0	0	0	0
MMRF_2080_1_BM_CD138pos	0	0.155|0.077|0.306	0	0.449|0.365|0.548	0	0	0	1|0.58|1	0	0	0	0	0	0	0	0
MMRF_2081_1_BM_CD138pos	0.822|0.71|0.94	0	0	0	0	0	0	1|0.987|1	0	0	0	0	0	0	0	0
MMRF_2082_1_BM_CD138pos	0	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0.956|0.807|1	0
MMRF_2083_1_BM_CD138pos	0.534|0.343|0.784	0	0	0	0	0	0	0	0.596|0.483|0.704	0	0	0	0	0	0	0
MMRF_2087_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2089_1_BM_CD138pos	0	0.856|0.714|1	0	0	0	0	0	0	0.868|0.69|1	0	0	0	0	0	0	0
MMRF_2090_1_BM_CD138pos	0	0	0.135|0.06|0.29	0.999|0.821|1	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2091_1_BM_CD138pos	0	0	0	0	0.065|0.031|0.136	0	0	1|0.886|1	0	0	0	0.991|0.816|1	0	0	0	0.059|0.033|0.102
MMRF_2093_1_BM_CD138pos	0.664|0.554|0.775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2097_1_BM_CD138pos	0.374|0.237|0.566	0.615|0.48|0.769	0	0	0	0.107|0.062|0.179	0	0	0	0	0	0	0	0	0	0.319|0.182|0.507
MMRF_2098_1_BM_CD138pos	0	0	0	0	0	0	0.915|0.592|1	0	0	0	0	0	0	0	0	0
MMRF_2101_1_BM_CD138pos	0.658|0.541|0.788	0	0.92|0.704|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2102_1_BM_CD138pos	0	0.846|0.685|1	0	0.292|0.199|0.419	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2106_1_BM_CD138pos	0.305|0.188|0.483	0.346|0.239|0.485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2111_1_BM_CD138pos	0	0	1|0.965|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2112_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0.168|0.101|0.275	0	0	0	0
MMRF_2115_1_BM_CD138pos	0	0	0.974|0.816|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2116_1_BM_CD138pos	0.161|0.076|0.331	0	1|0.982|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2118_1_BM_CD138pos	0	0	0.951|0.821|1	1|0.974|1	0	0.317|0.267|0.372	0	0	0	0	0	0	0	0	0	0
MMRF_2119_1_BM_CD138pos	0.952|0.795|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2122_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2129_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2132_1_BM_CD138pos	0	0	0	0	0	1|0.966|1	0	0	0	0	0	0	0	1|0.898|1	0	0
MMRF_2137_1_BM_CD138pos	0	0	0	0	0.395|0.192|0.695	0	0	0	0	0	0	0	0	0	0	0
MMRF_2138_1_BM_CD138pos	0.567|0.33|0.906	0	0	0	0	0	0	0	0	0	0	0.435|0.243|0.75	0	0	0	0
MMRF_2140_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0.809|0.585|1	1|0.887|1	0
MMRF_2141_1_BM_CD138pos	0.53|0.38|0.724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2143_1_BM_CD138pos	0	0	0	0.143|0.074|0.271	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2144_1_BM_CD138pos	0	0.8|0.619|0.996	0	0	0	0.099|0.044|0.213	0	1|0.85|1	0	0	0	0	0.985|0.849|1	0	0	1|0.928|1
MMRF_2149_1_BM_CD138pos	0.897|0.763|1	0	0	0.428|0.323|0.542	0	0	0	0	0	0	0	0	0	0.926|0.752|1	0	0
MMRF_2150_1_BM_CD138pos	0	0	1|0.968|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2151_1_BM_CD138pos	0	0	0	0	0	0	0.468|0.371|0.583	0	0	0	0	0	0	0	0	0
MMRF_2152_1_BM_CD138pos	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2167_1_BM_CD138pos	0.678|0.546|0.825	0	0.718|0.471|0.919	0.854|0.742|0.941	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2170_1_BM_CD138pos	0.799|0.627|0.986	0	0	0	0	1|0.895|1	0	0.987|0.83|1	0	0	0	0	0	0	0	0
MMRF_2172_1_BM_CD138pos	0	0	1|1|1	0	0	0	0	0	0.129|0.078|0.211	0	0	0	0	0	0	0
MMRF_2173_1_BM_CD138pos	0.456|0.346|0.589	0	0	0	0	0	0	1|0.842|1	0	0	0	0	0	0	0	0
MMRF_2176_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	1|0.79|1	0	0	0	0	0	0
MMRF_2181_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2183_1_BM_CD138pos	0.125|0.045|0.338	0.773|0.622|0.935	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2185_1_BM_CD138pos	0.282|0.21|0.376	0.165|0.096|0.279	0	0	0	0	0	0	0	0	0	0.222|0.143|0.339	0	0	0	0
MMRF_2186_1_BM_CD138pos	0	0.868|0.711|1	0.107|0.071|0.159	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2187_1_BM_CD138pos	0	0.27|0.162|0.436	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2190_1_BM_CD138pos	0.583|0.409|0.801	0	0	0	0.157|0.096|0.251	0	0	0	0	0	0	0	1|1|1	0	0	0
MMRF_2194_1_BM_CD138pos	0	0	0	0	0	0	0	0	0.97|0.731|1	0	0	0	0	0	0	0
MMRF_2195_1_BM_CD138pos	0.331|0.174|0.586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2197_1_BM_CD138pos	0	0	0	1|0.805|1	0	0.902|0.694|1	0	0	0	0	0.417|0.198|0.837	0	0	0	0	0
MMRF_2198_1_BM_CD138pos	0.595|0.372|0.883	0	0	0	0	0	0	0	0.293|0.176|0.47	0	0	0	0	0	0	0
MMRF_2200_1_BM_CD138pos	0	0	0	0	0	0	1|0.805|1	0	0	0	0	0	0	0	0	0
MMRF_2201_1_BM_CD138pos	0.486|0.306|0.749	0	0	0	0.615|0.363|0.992	0	0	0	0	0	0	0	0	0	0	0
MMRF_2203_1_BM_CD138pos	0	0	0	0.823|0.664|0.991	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2204_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2209_1_BM_CD138pos	0	0	1|0.623|1	0.259|0.165|0.398	0	0.908|0.644|1	0	0	0	0	0	0	0	0	0	0
MMRF_2211_1_BM_CD138pos	0	0	0	0	0	0.989|0.915|1	0	0	0	0	0	0	0	0	0	0
MMRF_2213_1_BM_CD138pos	0	0.829|0.63|1	0	0	0	1|1|1	0	0	0	0	0	0	0	0	0	0
MMRF_2214_1_BM_CD138pos	1|0.984|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2216_1_BM_CD138pos	0	0.875|0.689|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2220_1_BM_CD138pos	0	0	0.081|0.073|0.083	0	0	0	0	1|0.924|1	0	0	0	0	0	0	0	0
MMRF_2223_1_BM_CD138pos	0.352|0.223|0.536	0.266|0.176|0.393	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2224_1_BM_CD138pos	0	0	0	0	0	1|0.972|1	0	0	0	0	0	0	0	0	0	0.89|0.66|1
MMRF_2225_1_BM_CD138pos	0	1|0.992|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2226_1_BM_CD138pos	0	0.879|0.686|1	1|0.955|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2229_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0.443|0.281|0.677	0	0	0	0	0	0
MMRF_2230_1_BM_CD138pos	0	1|0.858|1	0	0	0.338|0.246|0.446	0	0	0	0	0	0	0	0	0.896|0.675|1	0	0
MMRF_2231_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.736|0.525|0.916	0
MMRF_2232_1_BM_CD138pos	0	1|1|1	1|0.98|1	0	0	0	0	0	0	0	0	0.718|0.512|0.977	0	0	0	0
MMRF_2236_1_BM_CD138pos	0	0	0	0.602|0.471|0.754	0	0	0.505|0.254|0.941	0	0	0	0	0	0	0	0	0
MMRF_2237_1_BM_CD138pos	0	1|1|1	0.832|0.572|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2238_1_BM_CD138pos	0	0	0	0	0	0	0	0	0.921|0.803|0.987	1|0.833|1	0	0	0	0.905|0.716|1	0	0
MMRF_2240_1_BM_CD138pos	0.777|0.54|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
