Genomic alteration	NDMM freq	SMM freq	freq diff	BT-score NDMM	BT-score SMM	Clonality difference	p-val	q-val (BH)	q-val signif
del_chr_1p_EVI5	0.24557260920897284	0.09538461538461539	0.15018799382435744	1.441447311017733	1.3976089138110042	0.043838397206728885	0.925425784849299	1	no
del_chr_8p	0.25855962219598583	0.12307692307692308	0.13548269911906274	1.8998652466781065	2.1591716540128996	-0.25930640733479304	0.1571600559509831	1	no
del_chr_1p_TENT5C	0.20543093270365997	0.08615384615384615	0.11927708654981382	1.7931065411680631	1.8504167114240024	-0.05731017025593932	0.19175131854437366	1	no
del_chr_14q_MAX	0.2514757969303424	0.15692307692307692	0.09455272000726547	0.8531065167323215	1.3125824159129942	-0.45947589918067266	0.005130719547704604	0.4104575638163683	no
amp_chr_8q_MYC_amp	0.15584415584415584	0.07384615384615385	0.08199800199800199	1.9123010548420054	3.394029514300036	-1.4817284594580307	9.924080147033188e-9	7.93926411762655e-7	yes
del_chr_12p	0.1357733175914994	0.05846153846153846	0.07731177912996096	2.1918210103092157	3.8723686793371077	-1.680547669027892	1.4508889103849688e-11	1.160711128307975e-9	yes
del_chr_17p	0.1357733175914994	0.06769230769230769	0.06808100989919172	3.364406392106658	2.6065263633535416	0.7578800287531164	4.121931867736385e-6	3.297545494189108e-4	yes
amp_chr_6q	0.15584415584415584	0.09846153846153846	0.05738261738261738	2.201281329719904	3.082908880465955	-0.8816275507460509	7.571173601061883e-7	6.0569388808495066e-5	yes
amp_chr_1q_MCL1	0.3919716646989374	0.3384615384615385	0.053510126237398925	1.0127185389115545	0.973317288178743	0.03940125073281153	0.19175131854437366	1	no
amp_chr_6p	0.2526564344746163	0.2	0.052656434474616265	1.3195307200432786	1.624476847438935	-0.3049461273956564	0.01809357865845751	1	no
HyperDiploidy	0.6080283353010626	0.56	0.04802833530106254	0	0	0	NA	NA	NA
del_chr_17q	0.09208972845336481	0.04923076923076923	0.04285895922259558	4.661289052658924	2.5623690006738444	2.09892005198508	1.4508889103849688e-11	1.160711128307975e-9	yes
del_chr_16q_CYLD	0.24557260920897284	0.20615384615384616	0.03941876305512668	1.4923601155523287	1.6943975262959288	-0.20203741074360004	0.07626619026241796	1	no
del_chr_12q	0.08618654073199528	0.055384615384615386	0.03080192534737989	2.3002991378987447	4.157208291852324	-1.8569091539535796	1.4508889103849688e-11	1.160711128307975e-9	yes
del_chr_6q	0.20543093270365997	0.18769230769230769	0.017738625011352288	1.684470624354303	1.895380580619872	-0.21090995626556897	0.01953676183980387	1	no
del_chr_4q	0.06611570247933884	0.04923076923076923	0.016884933248569614	2.537710868386604	2.5307894679016574	0.006921400484946716	0.5648316368536903	1	no
del_chr_13q	0.5112160566706021	0.5046153846153846	0.006600672055217527	0.8401492469412908	0.8563334377997767	-0.01618419085848588	0.383413281904359	1	no
del_chr_20p	0.10743801652892562	0.10153846153846154	0.005899554990464087	2.1813913704422045	2.5438885674989002	-0.3624971970566957	0.042984632900965054	1	no
amp_chr_9q	0.12129380053908356	0.12337662337662338	-0.0020828228375398133	2.5875171067157416	2.9347390494349375	-0.3472219427191958	0.011206767288403889	0.8965413830723111	no
amp_chr_2p	0.09917355371900827	0.10153846153846154	-0.0023649078194532686	2.6760332888295455	2.0269860893918468	0.6490471994376987	8.357657823247608e-4	0.06686126258598087	no
del_chr_4p_NSD2	0.06257378984651712	0.06769230769230769	-0.005118517845790566	2.811029987892693	2.0758175171067084	0.7352124707859846	1.3670710580320291e-6	1.0936568464256234e-4	yes
del_chr_22q_XBP1	0.1641086186540732	0.16923076923076924	-0.005122150576696044	1.826723455080474	1.887489993632071	-0.06076653855159697	0.5831142281933015	1	no
amp_chr_10q	0.0590318772136954	0.06461538461538462	-0.005583507401689218	2.562544315630082	2.2551270498284373	0.30741726580164475	0.05956383156170359	1	no
del_chr_2q_SP140	0.04014167650531287	0.04923076923076923	-0.009089092725456362	2.4183199245322577	3.351078145519761	-0.9327582209875032	4.121931867736385e-6	3.297545494189108e-4	yes
amp_chr_18q	0.16883116883116883	0.17846153846153845	-0.009630369630369617	1.3812608788105205	1.9788770436406256	-0.597616164830105	1.6891248694701805e-7	1.3512998955761444e-5	yes
del_chr_20q	0.05785123966942149	0.06769230769230769	-0.009841068022886201	2.5687699003407305	2.5714211455990013	-0.0026512452582707624	0.5648316368536903	1	no
amp_chr_2q	0.06729634002361275	0.08	-0.012703659976387255	2.6601659408578415	2.5704396781603505	0.08972626269749107	0.6587978577435463	1	no
amp_chr_20q	0.07319952774498228	0.08615384615384615	-0.012954318408863866	3.6240635907258576	2.4795689336424185	1.1444946570834391	2.9017778207699375e-11	2.32142225661595e-9	yes
amp_chr_11q	0.07818930041152264	0.09183673469387756	-0.013647434282354917	0.8611890070344206	0.7451306019970556	0.11605840503736498	0.7788036356155523	1	no
amp_chr_14q	0.04132231404958678	0.055384615384615386	-0.014062301335028608	4.434968797350471	2.7977523502402253	1.6372164471102453	1.4073622430734198e-9	1.1258897944587358e-7	yes
del_chr_10p	0.03896103896103896	0.06153846153846154	-0.022577422577422582	2.7499312319405806	2.8947974577825493	-0.14486622584196862	0.3140842696919498	1	no
amp_chr_18p	0.15230224321133412	0.1753846153846154	-0.023082372173281268	1.5092967718740216	2.076819038552096	-0.5675222666780746	1.3670710580320291e-6	1.0936568464256234e-4	yes
del_chr_16p	0.08028335301062574	0.10461538461538461	-0.024332031604758872	3.291564252286876	2.7166733998244843	0.5748908524623917	3.29847899611405e-4	0.0263878319689124	yes
